Entity,Code,Year,CO2 emissions per capita
Albania,ALB,2023,1.5710765
Andorra,AND,2023,5.1700654
Austria,AUT,2023,6.2328863
Belarus,BLR,2023,6.1143074
Belgium,BEL,2023,7.2316356
Bosnia and Herzegovina,BIH,2023,6.242028
Bulgaria,BGR,2023,5.076801
Croatia,HRV,2023,4.740115
Czechia,CZE,2023,7.6997585
Denmark,DNK,2023,4.8470974
Estonia,EST,2023,6.3957644
Faroe Islands,FRO,2023,13.037725
Finland,FIN,2023,5.6771917
France,FRA,2023,4.067842
Germany,DEU,2023,7.022808
Greece,GRC,2023,5.0755324
Hungary,HUN,2023,4.164973
Iceland,ISL,2023,9.052132
Ireland,IRL,2023,6.4595604
Italy,ITA,2023,5.248631
Latvia,LVA,2023,3.5007896
Liechtenstein,LIE,2023,3.3118217
Lithuania,LTU,2023,4.3822517
Luxembourg,LUX,2023,10.2852545
Malta,MLT,2023,3.317301
Moldova,MDA,2023,1.7375865
Montenegro,MNE,2023,3.7989702
Netherlands,NLD,2023,6.4676642
North Macedonia,MKD,2023,4.006106
Norway,NOR,2023,7.042548
Poland,POL,2023,7.307086
Portugal,PRT,2023,3.6068447
Romania,ROU,2023,3.54976
Serbia,SRB,2023,6.334863
Slovakia,SVK,2023,5.5755577
Slovenia,SVN,2023,5.6704106
Spain,ESP,2023,4.4970493
Sweden,SWE,2023,3.4789953
Switzerland,CHE,2023,3.604899
Ukraine,UKR,2023,3.6924176
United Kingdom,GBR,2023,4.481841
