time,mag,longitude,latitude,place
2011-03-11T05:46:24.120Z,9.1,142.373,38.297,"2011 Great Tohoku Earthquake, Japan"
2005-03-28T16:09:36.530Z,8.6,97.108,2.085,"78 km WSW of Singkil, Indonesia"
2007-09-12T11:10:26.830Z,8.4,101.367,-4.438,"122 km SW of Bengkulu, Indonesia"
2006-11-15T11:14:13.570Z,8.3,153.266,46.592,2006 Kuril Islands Earthquake
2007-04-01T20:39:58.710Z,8.1,157.043,-8.466,2007 Solomon Islands Earthquake
2007-01-13T04:23:21.160Z,8.1,154.524,46.243,2007 Kuril Islands Earthquake
2013-02-06T01:12:25.830Z,8,165.114,-10.799,2013 Santa Cruz Islands Earthquake
2017-01-22T04:30:22.960Z,7.9,155.1718,-6.2464,"35 km WNW of Panguna, Papua New Guinea"
2016-12-17T10:51:10.500Z,7.9,153.5216,-4.5049,"140 km E of Kokopo, Papua New Guinea"
2007-09-12T23:49:03.720Z,7.9,100.841,-2.625,"87 km SW of Sungai Penuh, Indonesia"
2008-05-12T06:28:01.570Z,7.9,103.322,31.002,"58 km W of Tianpeng, China"
2011-03-11T06:15:40.280Z,7.9,141.111,36.281,"47 km E of ?arai, Japan"
2016-12-08T17:38:46.280Z,7.8,161.3273,-10.6812,"69 km WSW of Kirakira, Solomon Islands"
2010-04-06T22:15:01.580Z,7.8,97.048,2.383,"75 km E of Sinabang, Indonesia"
2010-10-25T14:42:22.460Z,7.8,100.082,-3.487,"215 km SW of Sungai Penuh, Indonesia"
2015-05-30T11:23:02.110Z,7.8,140.4931,27.8386,"Bonin Islands, Japan region"
2009-10-07T22:18:51.240Z,7.8,166.382,-12.517,"196 km NW of Sola, Vanuatu"
