Code,Entity,Year,value
ALB,Albania,2023,1.5710765
AND,Andorra,2023,5.1700654
AUT,Austria,2023,6.2328863
BEL,Belgium,2023,7.2316356
BGR,Bulgaria,2023,5.076801
BIH,Bosnia and Herzegovina,2023,6.242028
BLR,Belarus,2023,6.1143074
CHE,Switzerland,2023,3.604899
CZE,Czechia,2023,7.6997585
DEU,Germany,2023,7.022808
DNK,Denmark,2023,4.8470974
ESP,Spain,2023,4.4970493
EST,Estonia,2023,6.3957644
FIN,Finland,2023,5.6771917
FRA,France,2023,4.067842
FRO,Faroe Islands,2023,13.037725
GBR,United Kingdom,2023,4.481841
GRC,Greece,2023,5.0755324
HRV,Croatia,2023,4.740115
HUN,Hungary,2023,4.164973
IRL,Ireland,2023,6.4595604
ISL,Iceland,2023,9.052132
ITA,Italy,2023,5.248631
LIE,Liechtenstein,2023,3.3118217
LTU,Lithuania,2023,4.3822517
LUX,Luxembourg,2023,10.2852545
LVA,Latvia,2023,3.5007896
MDA,Moldova,2023,1.7375865
MKD,North Macedonia,2023,4.006106
MLT,Malta,2023,3.317301
MNE,Montenegro,2023,3.7989702
NLD,Netherlands,2023,6.4676642
NOR,Norway,2023,7.042548
POL,Poland,2023,7.307086
PRT,Portugal,2023,3.6068447
ROU,Romania,2023,3.54976
SRB,Serbia,2023,6.334863
SVK,Slovakia,2023,5.5755577
SVN,Slovenia,2023,5.6704106
SWE,Sweden,2023,3.4789953
UKR,Ukraine,2023,3.6924176
