Entity,Code,Year,Annual CO₂ emissions
Switzerland,CHE,1858,146560
Switzerland,CHE,1859,205184
Switzerland,CHE,1860,304112
Switzerland,CHE,1861,425024
Switzerland,CHE,1862,468992
Switzerland,CHE,1863,468992
Switzerland,CHE,1864,571584
Switzerland,CHE,1865,696160
Switzerland,CHE,1866,688832
Switzerland,CHE,1867,674176
Switzerland,CHE,1868,769440
Switzerland,CHE,1869,743792
Switzerland,CHE,1870,897680
Switzerland,CHE,1871,1110192
Switzerland,CHE,1872,1275072
Switzerland,CHE,1873,1238432
Switzerland,CHE,1874,1168816
Switzerland,CHE,1875,1278736
Switzerland,CHE,1876,1494912
Switzerland,CHE,1877,1417968
Switzerland,CHE,1878,1355680
Switzerland,CHE,1879,1447280
Switzerland,CHE,1880,1670784
Switzerland,CHE,1881,1564528
Switzerland,CHE,1882,1729408
Switzerland,CHE,1883,1912608
Switzerland,CHE,1884,1963904
Switzerland,CHE,1885,2044512
Switzerland,CHE,1886,2084816
Switzerland,CHE,1887,2257024
Switzerland,CHE,1888,2304656
Switzerland,CHE,1889,2542816
Switzerland,CHE,1890,2876240
Switzerland,CHE,1891,3521104
Switzerland,CHE,1892,3469808
Switzerland,CHE,1893,2876240
Switzerland,CHE,1894,3583392
Switzerland,CHE,1895,3847200
Switzerland,CHE,1896,4209936
Switzerland,CHE,1897,4440768
Switzerland,CHE,1898,4748544
Switzerland,CHE,1899,5122272
Switzerland,CHE,1900,5675536
Switzerland,CHE,1901,5184560
Switzerland,CHE,1902,5235856
Switzerland,CHE,1903,5671872
Switzerland,CHE,1904,5961328
Switzerland,CHE,1905,6239792
Switzerland,CHE,1906,6895648
Switzerland,CHE,1907,7998512
Switzerland,CHE,1908,8005840.5
Switzerland,CHE,1909,8068127.5
Switzerland,CHE,1910,7789664
Switzerland,CHE,1911,8610400
Switzerland,CHE,1912,8760624
Switzerland,CHE,1913,9251600
Switzerland,CHE,1914,8427200
Switzerland,CHE,1915,8925504
Switzerland,CHE,1916,8482160
Switzerland,CHE,1917,6107888
Switzerland,CHE,1918,5745152
Switzerland,CHE,1919,4605648
Switzerland,CHE,1920,7232736
Switzerland,CHE,1921,4466416
Switzerland,CHE,1922,6151856
Switzerland,CHE,1923,7665088
Switzerland,CHE,1924,7232736
Switzerland,CHE,1925,7536848
Switzerland,CHE,1926,7456240
Switzerland,CHE,1927,8595744
Switzerland,CHE,1928,8963252
Switzerland,CHE,1929,10263735
Switzerland,CHE,1930,9556195
Switzerland,CHE,1931,10094537
Switzerland,CHE,1932,10222985
Switzerland,CHE,1933,9566704
Switzerland,CHE,1934,9555712
Switzerland,CHE,1935,9475104
