entity,code,year,other_renewables_generation__twh,bioenergy_stacked_generation__twh,solar_generation__twh,wind_generation__twh,hydro_generation__twh,nuclear_generation__twh,gas_generation__twh,oil_generation__twh,coal_generation__twh
Albania,ALB,2024,0,0,0.34,0,8,0,0,0,0
Austria,AUT,2024,0,4.67,8.14,9.14,45.71,0,7.54,3.27,0
Belarus,BLR,2024,0,0.55,0.26,0.2,0.4,15.69,27,1.7,0.02
Belgium,BEL,2024,0,3.61,8.56,14.06,0.55,31.25,14.17,3.81,0
Bosnia and Herzegovina,BIH,2024,0,0.04,0.39,0.37,5.45,0,0,0.15,9.09
Bulgaria,BGR,2024,0,1.72,5.49,1.46,2.79,15.78,2.04,0.26,8.76
Croatia,HRV,2024,0,1,0.82,2.68,6.73,0,3.25,0.01,0.8
Cyprus,CYP,2024,0,0.06,1.11,0.22,0,0,0,4.4,0
Czechia,CZE,2024,0,5.38,3.59,0.67,2.66,29.7,3.79,0.5,26.52
Denmark,DNK,2024,0,7.06,3.78,20.41,0.02,0,0.91,1.13,1.75
Estonia,EST,2024,0,1.34,1.07,1.05,0.03,0,0.08,2.69,0
Finland,FIN,2024,0,10.39,0.94,20.48,14.3,32.6,0.82,2.19,0.83
France,FRA,2024,0.57,10.68,24.87,45.43,71.12,380.45,18.1,9.54,1.02
Germany,DEU,2024,0.22,51.08,74.13,141.6,23.83,0,78.41,20.39,106.33
Greece,GRC,2024,0,0.71,11.26,12.55,3.58,0,21.53,4.18,3.27
Hungary,HUN,2024,0.01,1.83,9.2,0.69,0.23,16.02,7.13,0.45,2.44
Iceland,ISL,2024,5.57,0,0.01,0.01,13.46,0,0,0,0
Ireland,IRL,2024,0,1,1.09,11.6,0.77,0,15.1,0.89,0.63
Italy,ITA,2024,5.67,17.23,35.99,22.22,53.13,0,118.59,10.78,3.95
Latvia,LVA,2024,0,0.62,0.54,0.28,3.21,0,1.68,0,0
Lithuania,LTU,2024,0,0.98,1.4,3.41,0.44,0,0.84,0.32,0
Luxembourg,LUX,2024,0,0.44,0.36,0.46,0.11,0,0.07,0.07,0
Malta,MLT,2024,0,0.01,0.33,0,0,0,1.84,0.01,0
Moldova,MDA,2024,0,0.02,0.1,0.21,0.32,0,5.2,0.22,0
Montenegro,MNE,2024,0,0,0.06,0.27,1.77,0,0,0,1.43
Netherlands,NLD,2024,0,6.68,21.82,33.48,0.09,3.57,44.29,4.93,7.47
North Macedonia,MKD,2024,0,0.06,0.89,0.17,1.37,0,1.29,0.17,2.36
Norway,NOR,2024,0,0.24,0.53,14.6,139.55,0,1.47,0.72,0
Poland,POL,2024,0,7.95,17.66,25.89,2.11,0,20.46,4.55,93.5
Portugal,PRT,2024,0.2,3.75,7.09,14.34,14.89,0,5.63,1.37,0
Romania,ROU,2024,0,0.48,3.42,6.43,14.19,10.91,10.03,0.18,7.08
Russia,RUS,2024,0,0.83,2.92,4.57,210.54,215.71,545.78,13.79,215.17
Serbia,SRB,2024,0,0.34,0.16,1.25,10.1,0,1.72,0.13,23.26
Slovakia,SVK,2024,0,1.58,0.69,0,4.83,18.23,2.88,0.79,0.52
Slovenia,SVN,2024,0,0.25,1.27,0.01,5.34,5.84,0.48,0.02,3.5
Spain,ESP,2024,0.01,6.17,58.29,62.2,34.41,54.53,52.34,10.41,2.58
Sweden,SWE,2024,0,10.18,4.16,40.45,64.61,50.67,0.11,1.97,0
Switzerland,CHE,2024,1.04,1.04,5.66,0.18,44.94,24.02,0.27,1.22,0
Turkey,TUR,2024,10.2,8.68,25.67,36.53,74.57,0,63.28,0.98,121.32
Ukraine,UKR,2024,,0,,,,,,,
United Kingdom,GBR,2024,0,40.09,14.79,83.28,5.76,40.59,86.3,11.45,1.9
