Entity,Code,Year,Other renewables,Bioenergy,Solar,Wind,Hydropower,Nuclear,Gas,Oil,Coal
France,FRA,2015,0.58,6.53,7.75,21.42,55.56,437.43,21.14,11.84,11.89
France,FRA,2024,0.57,10.68,24.87,45.43,71.12,380.45,18.1,9.54,1.02
Germany,DEU,2015,0.13,50.33,38.08,80.62,18.98,91.79,61.47,25.57,272.2
Germany,DEU,2024,0.22,51.08,74.13,141.6,23.83,0,78.41,20.39,106.33
Norway,NOR,2015,0,0.25,0,2.52,137.3,0,2.2,0.69,0.04
Norway,NOR,2024,0,0.24,0.53,14.6,139.55,0,1.47,0.72,0
Poland,POL,2015,0,9.94,0.06,10.86,1.83,0,6.39,4.7,130.52
Poland,POL,2024,0,7.95,17.66,25.89,2.11,0,20.46,4.55,93.5
Sweden,SWE,2015,0,10.77,0.1,16.32,75.31,56.35,0.45,2.31,0.39
Sweden,SWE,2024,0,10.18,4.16,40.45,64.61,50.67,0.11,1.97,0
Switzerland,CHE,2015,1.11,0.52,1.12,0.11,38.26,23.09,0.63,1.23,0
Switzerland,CHE,2024,1.04,1.04,5.66,0.18,44.94,24.02,0.27,1.22,0
