Entity,Code,Year,Solar
France,FRA,2010,0.11024967
France,FRA,2011,0.41046417
France,FRA,2012,0.7805067
France,FRA,2013,0.89987
France,FRA,2014,1.1283573
France,FRA,2015,1.3498449
France,FRA,2016,1.5496384
France,FRA,2017,1.5960702
France,FRA,2018,1.9349576
France,FRA,2019,2.1254776
France,FRA,2020,2.4826932
France,FRA,2021,2.7766168
France,FRA,2022,4.128509
France,FRA,2023,4.3546987
France,FRA,2024,4.427
Germany,DEU,2010,1.9160218
Germany,DEU,2011,3.3041322
Germany,DEU,2012,4.314225
Germany,DEU,2013,4.8627105
Germany,DEU,2014,5.729293
Germany,DEU,2015,5.957727
Germany,DEU,2016,5.8548446
Germany,DEU,2017,6.014337
Germany,DEU,2018,7.0095525
Germany,DEU,2019,7.5355363
Germany,DEU,2020,8.73401
Germany,DEU,2021,8.524092
Germany,DEU,2022,10.637172
Germany,DEU,2023,12.604594
Germany,DEU,2024,14.945866
Italy,ITA,2010,0.6438998
Italy,ITA,2011,3.619667
Italy,ITA,2012,6.3878074
Italy,ITA,2013,7.548424
Italy,ITA,2014,8.067841
Italy,ITA,2015,8.201645
Italy,ITA,2016,7.728624
Italy,ITA,2017,8.346743
Italy,ITA,2018,7.917919
Italy,ITA,2019,8.169248
Italy,ITA,2020,9.00979
Italy,ITA,2021,8.770885
Italy,ITA,2022,10.036763
Italy,ITA,2023,11.741541
Italy,ITA,2024,13.451189
Poland,POL,2010,0
Poland,POL,2011,0
Poland,POL,2012,0
Poland,POL,2013,0
Poland,POL,2014,0.006315124
Poland,POL,2015,0.036518563
Poland,POL,2016,0.072289154
Poland,POL,2017,0.10005297
Poland,POL,2018,0.17706428
Poland,POL,2019,0.43499568
Poland,POL,2020,1.2472161
Poland,POL,2021,2.1981096
Poland,POL,2022,4.6528554
Poland,POL,2023,6.712179
Poland,POL,2024,10.260283
Romania,ROU,2010,0
Romania,ROU,2011,0
Romania,ROU,2012,0.017082335
Romania,ROU,2013,0.7217735
Romania,ROU,2014,2.495379
Romania,ROU,2015,3.0155344
Romania,ROU,2016,2.8340082
Romania,ROU,2017,2.92729
Romania,ROU,2018,2.7626033
Romania,ROU,2019,3.0292716
Romania,ROU,2020,3.1334903
Romania,ROU,2021,2.9030054
Romania,ROU,2022,3.6353672
Romania,ROU,2023,3.9157155
Romania,ROU,2024,6.4871016
Spain,ESP,2010,2.4143722
Spain,ESP,2011,3.2242572
Spain,ESP,2012,4.072121
Spain,ESP,2013,4.654303
Spain,ESP,2014,4.9810524
Spain,ESP,2015,5.0005407
Spain,ESP,2016,5.0387883
Spain,ESP,2017,5.2867317
Spain,ESP,2018,4.6941786
Spain,ESP,2019,5.581843
Spain,ESP,2020,7.966239
Spain,ESP,2021,10.009233
Spain,ESP,2022,12.439492
Spain,ESP,2023,17.408907
Spain,ESP,2024,20.748203
