Entity,Code,Year,Cumulative CO₂ emissions
Switzerland,CHE,1858,146560
Switzerland,CHE,1859,351744
Switzerland,CHE,1860,655856
Switzerland,CHE,1861,1080880
Switzerland,CHE,1862,1549872
Switzerland,CHE,1863,2018864
Switzerland,CHE,1864,2590448
Switzerland,CHE,1865,3286608
Switzerland,CHE,1866,3975440
Switzerland,CHE,1867,4649616
Switzerland,CHE,1868,5419056
Switzerland,CHE,1869,6162848
Switzerland,CHE,1870,7060528
Switzerland,CHE,1871,8170720
Switzerland,CHE,1872,9445792
Switzerland,CHE,1873,10684224
Switzerland,CHE,1874,11853040
Switzerland,CHE,1875,13131776
Switzerland,CHE,1876,14626688
Switzerland,CHE,1877,16044656
Switzerland,CHE,1878,17400336
Switzerland,CHE,1879,18847616
Switzerland,CHE,1880,20518400
Switzerland,CHE,1881,22082928
Switzerland,CHE,1882,23812336
Switzerland,CHE,1883,25724944
Switzerland,CHE,1884,27688848
Switzerland,CHE,1885,29733360
Switzerland,CHE,1886,31818176
Switzerland,CHE,1887,34075200
Switzerland,CHE,1888,36379856
Switzerland,CHE,1889,38922670
Switzerland,CHE,1890,41798910
Switzerland,CHE,1891,45320016
Switzerland,CHE,1892,48789824
Switzerland,CHE,1893,51666064
Switzerland,CHE,1894,55249456
Switzerland,CHE,1895,59096656
Switzerland,CHE,1896,63306590
Switzerland,CHE,1897,67747360
Switzerland,CHE,1898,72495900
Switzerland,CHE,1899,77618180
Switzerland,CHE,1900,83293710
Switzerland,CHE,1901,88478270
Switzerland,CHE,1902,93714130
Switzerland,CHE,1903,99386000
Switzerland,CHE,1904,105347330
Switzerland,CHE,1905,111587120
Switzerland,CHE,1906,118482770
Switzerland,CHE,1907,126481280
Switzerland,CHE,1908,134487120
Switzerland,CHE,1909,142555250
Switzerland,CHE,1910,150344910
Switzerland,CHE,1911,158955310
Switzerland,CHE,1912,167715940
Switzerland,CHE,1913,176967540
Switzerland,CHE,1914,185394740
Switzerland,CHE,1915,194320240
