Entity,Code,Year,Other renewables,Bioenergy,Solar,Wind,Hydropower,Nuclear,Gas,Oil,Coal
Germany,DEU,1990,0,1.6,0,0.07,17.43,152.47,35.9,24.75,310.04
Germany,DEU,1991,0,1.87,0,0.22,14.89,147.23,36.3,27.84,307.67
Germany,DEU,1992,0,2.04,0,0.29,17.4,158.8,33,26.57,295.67
Germany,DEU,1993,0,1.97,0,0.67,17.88,153.28,32.8,20.87,293.25
Germany,DEU,1994,0,2.07,0,1.43,19.93,150.7,36.1,20.53,290.29
Germany,DEU,1995,0,2.43,0,1.71,21.78,153.09,41.1,21.47,289.14
Germany,DEU,1996,0,2.5,0.01,2.08,21.96,160.02,45.56,20.11,295.99
Germany,DEU,1997,0,2.65,0.01,3.03,17.36,170.33,48.1,20.55,284.34
Germany,DEU,1998,0,3.06,0.01,4.59,17.22,161.64,50.74,19.74,292.26
Germany,DEU,1999,0,3.51,0.02,5.53,19.65,170,51.8,17.49,281.27
Germany,DEU,2000,0,4.33,0,9.35,21.73,169.61,49.2,18.05,296.68
Germany,DEU,2001,0,4.59,0.1,10.46,22.73,171.3,55.5,20.52,293.74
Germany,DEU,2002,0,5.31,0.2,15.86,23.12,164.84,56.3,18.53,299.6
Germany,DEU,2003,0,8.95,0.31,19.09,18.32,165.06,62.59,23.08,304.63
Germany,DEU,2004,0,10.64,0.56,26.02,20.75,167.07,62.67,23.12,298.77
Germany,DEU,2005,0,14.71,1.31,27.77,19.64,163.05,72.19,26.53,288.14
Germany,DEU,2006,0,18.94,2.27,31.32,20.03,167.27,74.73,26.71,288.93
Germany,DEU,2007,0,24.62,3.14,40.51,21.17,140.53,77.45,26.58,297.1
Germany,DEU,2008,0.02,28.02,4.51,41.38,20.44,148.49,88.48,25.74,275.21
Germany,DEU,2009,0.02,30.89,6.72,39.42,19.03,134.93,80.27,23.23,253.45
Germany,DEU,2010,0.03,33.92,11.96,38.55,20.95,140.56,88.76,26.59,262.89
Germany,DEU,2011,0.02,36.89,19.99,49.86,17.67,107.97,85.67,24.47,262.46
Germany,DEU,2012,0.03,43.2,26.74,51.68,21.75,99.46,75.95,24.77,276.23
Germany,DEU,2013,0.08,45.51,30.62,52.74,23,97.29,67,25.25,288.2
Germany,DEU,2014,0.1,48.29,35.45,58.5,19.59,97.13,60.61,24.67,274.41
Germany,DEU,2015,0.13,50.33,38.08,80.62,18.98,91.79,61.47,25.57,272.2
Germany,DEU,2016,0.17,50.93,37.56,79.92,20.55,84.63,80.62,25.39,261.75
Germany,DEU,2017,0.16,50.92,38.76,105.69,20.15,76.32,86.04,25.16,241.26
Germany,DEU,2018,0.18,50.79,44.32,109.95,17.69,76,81.56,23.63,228.16
Germany,DEU,2019,0.2,50.13,45.22,125.89,19.73,75.07,90,22.4,171.45
Germany,DEU,2020,0.23,50.93,49.5,132.11,18.72,64.38,95,21.28,134.6
Germany,DEU,2021,0.24,49.1,49.34,114.16,19.66,69.13,90.31,22.24,164.65
Germany,DEU,2022,0.21,48.6,60.3,124.81,17.62,34.71,79.05,21.65,179.93
Germany,DEU,2023,0.19,51.26,63.87,140.54,21.24,7.22,76.66,20.96,124.78
Germany,DEU,2024,0.22,51.08,74.13,141.6,23.83,0,78.41,20.39,106.33
Germany,DEU,2025,0,50.53,89.62,136.03,19.56,0,82.67,18.91,103.15
