Entity,Code,Year,CO2 emissions per capita
Afghanistan,AFG,2023,0.2536818
Albania,ALB,2023,1.5710765
Algeria,DZA,2023,4.394023
Andorra,AND,2023,5.1700654
Angola,AGO,2023,0.5897924
Anguilla,AIA,2023,9.8792515
Antigua and Barbuda,ATG,2023,6.863025
Argentina,ARG,2023,3.9177263
Armenia,ARM,2023,2.524371
Aruba,ABW,2023,8.213218
Australia,AUS,2023,14.529289
Austria,AUT,2023,6.2328863
Azerbaijan,AZE,2023,4.142986
Bahamas,BHS,2023,7.4004436
Bahrain,BHR,2023,24.71003
Bangladesh,BGD,2023,0.60960233
Barbados,BRB,2023,4.6635275
Belarus,BLR,2023,6.1143074
Belgium,BEL,2023,7.2316356
Belize,BLZ,2023,1.8643363
Benin,BEN,2023,0.4200842
Bermuda,BMU,2023,8.183635
Bhutan,BTN,2023,2.0723257
Bolivia,BOL,2023,2.0107968
Bonaire Sint Eustatius and Saba,BES,2023,4.8885026
Bosnia and Herzegovina,BIH,2023,6.242028
Botswana,BWA,2023,2.9225686
Brazil,BRA,2023,2.2922719
British Virgin Islands,VGB,2023,4.7523646
Brunei,BRN,2023,27.241413
Bulgaria,BGR,2023,5.076801
Burkina Faso,BFA,2023,0.273973
Burundi,BDI,2023,0.06579634
Cambodia,KHM,2023,1.2288593
Cameroon,CMR,2023,0.34169704
Canada,CAN,2023,13.880179
Cape Verde,CPV,2023,1.094112
Central African Republic,CAF,2023,0.075552724
Chad,TCD,2023,0.14743946
Chile,CHL,2023,3.9475496
China,CHN,2023,8.556261
Colombia,COL,2023,1.7199993
Comoros,COM,2023,0.6375075
Congo,COG,2023,1.3382533
Cook Islands,COK,2023,5.376369
Costa Rica,CRI,2023,1.6594821
Cote d'Ivoire,CIV,2023,0.45089495
Croatia,HRV,2023,4.740115
Cuba,CUB,2023,2.1298018
Curacao,CUW,2023,11.890415
Cyprus,CYP,2023,5.3443794
Czechia,CZE,2023,7.6997585
Democratic Republic of Congo,COD,2023,0.05559222
Denmark,DNK,2023,4.8470974
Djibouti,DJI,2023,0.48359296
Dominica,DMA,2023,2.4730878
Dominican Republic,DOM,2023,2.8089135
East Timor,TLS,2023,0.45995858
Ecuador,ECU,2023,2.4805002
Egypt,EGY,2023,2.1847339
El Salvador,SLV,2023,1.3740716
