entity,code,t_per_person_2000,t_per_person_2023,population_2000,population_2023
Aruba,ABW,26.787004,8.213218,88772,107946
Afghanistan,AFG,0.052017,0.253682,20130334,41454762
Angola,AGO,0.987665,0.589792,16194873,36749909
Anguilla,AIA,7.199714,9.879252,11196,14435
Albania,ALB,0.955397,1.571076,3166147,2811660
Andorra,AND,7.974552,5.170065,65703,80869
United Arab Emirates,ARE,32.138012,19.772913,3493583,10642089
Argentina,ARG,3.852176,3.917726,37213986,45538402
Armenia,ARM,1.117025,2.524371,3125630,2943398
Antigua and Barbuda,ATG,4.743264,6.863025,74929,93331
Australia,AUS,18.288157,14.529289,19132472,26451126
Austria,AUT,8.262151,6.232886,8012929,9130434
Azerbaijan,AZE,3.641113,4.142986,8174784,10318209
Burundi,BDI,0.041905,0.065796,6470196,13689455
Belgium,BEL,12.366287,7.231636,10251719,11712891
Benin,BEN,0.203961,0.420084,7221618,14111035
Bonaire Sint Eustatius and Saba,BES,6.493897,4.888503,14256,29920
Burkina Faso,BFA,0.078049,0.273973,11925548,23025777
Bangladesh,BGD,0.197253,0.609602,134544303,171466986
Bulgaria,BGR,5.687045,5.076801,8000519,6795805
Bahrain,BHR,28.673351,24.710030,669589,1569674
Bahamas,BHS,6.256653,7.400444,323846,399452
Bosnia and Herzegovina,BIH,3.293952,6.242028,4159785,3185072
Belarus,BLR,5.506232,6.114307,9991310,9115679
Belize,BLZ,1.643261,1.864336,240809,411112
Bermuda,BMU,8.390975,8.183635,61569,64721
Bolivia,BOL,0.980939,2.010797,8606330,12244161
Brazil,BRA,1.954868,2.292272,174018278,211140731
Barbados,BRB,4.995379,4.663527,262071,282347
Brunei,BRN,18.032026,27.241413,326429,458959
Bhutan,BTN,0.664919,2.072326,596871,786386
Botswana,BWA,2.252069,2.922569,1677384,2480242
Central African Republic,CAF,0.032497,0.075553,3833421,5152415
Canada,CAN,18.344023,13.880179,30891800,39299098
Switzerland,CHE,6.071895,3.604899,7184003,8870564
Chile,CHL,3.773477,3.947550,15503638,19658833
China,CHN,2.870088,8.556261,1269581174,1422584930
Cote d'Ivoire,CIV,0.374601,0.450895,17699007,31165653
Cameroon,CMR,0.374754,0.341697,14912632,28372690
Democratic Republic of Congo,COD,0.033752,0.055592,50507445,105789733
Congo,COG,1.359497,1.338253,3151349,6182890
Cook Islands,COK,3.231041,5.376369,15876,14244
Colombia,COL,1.438041,1.719999,39089939,52321152
Comoros,COM,0.191373,0.637508,536084,850390
Cape Verde,CPV,0.654668,1.094112,453335,522335
Costa Rica,CRI,1.363025,1.659482,3937737,5105526
Cuba,CUB,2.277336,2.129802,11109112,11019932
Curacao,CUW,34.110470,11.890415,145540,185437
Cyprus,CYP,7.499365,5.344379,947667,1344981
Czechia,CZE,12.429018,7.699758,10236809,10809722
Germany,DEU,10.990293,7.022808,81797255,84548233
Djibouti,DJI,0.490281,0.483593,747326,1152951
Dominica,DMA,1.497103,2.473088,68527,66531
Denmark,DNK,10.170421,4.847097,5339659,5948134
Dominican Republic,DOM,2.206033,2.808914,8584196,11331269
Algeria,DZA,2.735981,4.394023,30903894,46164222
Ecuador,ECU,1.650949,2.480500,12689215,17980079
Egypt,EGY,1.954439,2.184734,73083287,114535772
Eritrea,ERI,0.268991,0.210649,2247036,3470391
Spain,ESP,7.539280,4.497049,41019772,47911583
Estonia,EST,11.074418,6.395764,1397001,1367195
Ethiopia,ETH,0.051369,0.136533,67411496,128691695
Finland,FIN,11.015230,5.677192,5176197,5601185
Fiji,FJI,0.969009,1.495532,840913,924150
France,FRA,6.849684,4.067842,59483716,66438828
