entity,code,month,people
Germany,DEU,2026-06,1250825
Poland,POL,2026-06,958885
Czechia,CZE,2026-06,390095
Spain,ESP,2026-06,264535
Romania,ROU,2026-06,212575
Slovakia,SVK,2026-06,146430
Netherlands,NLD,2026-06,139895
Ireland,IRL,2026-06,118840
Belgium,BEL,2026-06,94430
Austria,AUT,2026-06,89630
Norway,NOR,2026-06,86040
Bulgaria,BGR,2026-06,73635
Switzerland,CHE,2026-06,71840
Finland,FIN,2026-06,71620
Portugal,PRT,2026-06,60575
Denmark,DNK,2026-06,50895
Italy,ITA,2026-06,50810
Lithuania,LTU,2026-06,50070
Sweden,SWE,2026-06,48330
France,FRA,2026-06,47635
Hungary,HUN,2026-06,44375
Greece,GRC,2026-06,40685
Latvia,LVA,2026-06,31430
Estonia,EST,2026-06,30330
Croatia,HRV,2026-06,29795
Cyprus,CYP,2026-06,26360
Slovenia,SVN,2026-06,11425
Iceland,ISL,2026-06,4800
Luxembourg,LUX,2026-06,3710
Malta,MLT,2026-06,2635
Liechtenstein,LIE,2026-06,945
