entity,code,year,other_renewables_generation__twh,bioenergy_stacked_generation__twh,solar_generation__twh,wind_generation__twh,hydro_generation__twh,nuclear_generation__twh,gas_generation__twh,oil_generation__twh,coal_generation__twh
Austria,AUT,2000,0,1.53,0,0.07,41.84,0,7.85,2.63,5.72
Austria,AUT,2024,0,4.67,8.14,9.14,45.71,0,7.54,3.27,0
Belgium,BEL,2000,0,0.57,0,0.02,0.46,48.16,15.98,4.68,12.92
Belgium,BEL,2024,0,3.61,8.56,14.06,0.55,31.25,14.17,3.81,0
Czechia,CZE,2000,0,0.52,0,0,1.76,13.59,1.69,2.59,52.75
Czechia,CZE,2024,0,5.38,3.59,0.67,2.66,29.7,3.79,0.5,26.52
Denmark,DNK,2000,0,1.3,0,4.24,0.03,0,8.77,4.84,16.67
Denmark,DNK,2024,0,7.06,3.78,20.41,0.02,0,0.91,1.13,1.75
Finland,FIN,2000,0,8.64,0,0.08,14.66,22.48,10.13,5.49,8.49
Finland,FIN,2024,0,10.39,0.94,20.48,14.3,32.6,0.82,2.19,0.83
France,FRA,2000,0.51,2.48,0.01,0.05,64.78,415.16,11.51,11.06,27
France,FRA,2024,0.57,10.68,24.87,45.43,71.12,380.45,18.1,9.54,1.02
Germany,DEU,2000,0,4.33,0,9.35,21.73,169.61,49.2,18.05,296.68
Germany,DEU,2024,0.22,51.08,74.13,141.6,23.83,0,78.41,20.39,106.33
Greece,GRC,2000,0,0,0,0.45,3.69,0,5.92,8.57,34.31
Greece,GRC,2024,0,0.71,11.26,12.55,3.58,0,21.53,4.18,3.27
Ireland,IRL,2000,0,0.09,0,0.25,0.85,0,9.26,6.36,6.82
Ireland,IRL,2024,0,1,1.09,11.6,0.77,0,15.1,0.89,0.63
Italy,ITA,2000,4.7,1.39,0.02,0.56,44.2,0,101.36,91.43,26.28
Italy,ITA,2024,5.67,17.23,35.99,22.22,53.13,0,118.59,10.78,3.95
Netherlands,NLD,2000,0,1.99,0.01,0.83,0.14,3.93,51.52,5.36,24.28
Netherlands,NLD,2024,0,6.68,21.82,33.48,0.09,3.57,44.29,4.93,7.47
Poland,POL,2000,0,0.22,0,0,2.11,0,0.93,4.03,135.89
Poland,POL,2024,0,7.95,17.66,25.89,2.11,0,20.46,4.55,93.5
Portugal,PRT,2000,0.08,1.3,0,0.17,11.32,0,7.14,8.6,14.6
Portugal,PRT,2024,0.2,3.75,7.09,14.34,14.89,0,5.63,1.37,0
Spain,ESP,2000,0,1.49,0.01,4.73,28.26,62.21,20.18,24.95,79.09
Spain,ESP,2024,0.01,6.17,58.29,62.2,34.41,54.53,52.34,10.41,2.58
Sweden,SWE,2000,0,4.1,0,0.46,78.58,57.32,0.48,2.65,1.64
Sweden,SWE,2024,0,10.18,4.16,40.45,64.61,50.67,0.11,1.97,0
United Kingdom,GBR,2000,0,3.88,0,0.94,5.09,85.06,148.08,14.06,119.95
United Kingdom,GBR,2024,0,40.09,14.79,83.28,5.76,40.59,86.3,11.45,1.9
