entity,code,year,co2_t_per_person,population
Afghanistan,AFG,2023,0.2536818,41454762
Albania,ALB,2023,1.5710765,2811660
Algeria,DZA,2023,4.394023,46164222
Andorra,AND,2023,5.1700654,80869
Angola,AGO,2023,0.5897924,36749909
Anguilla,AIA,2023,9.8792515,14435
Antigua and Barbuda,ATG,2023,6.863025,93331
Argentina,ARG,2023,3.9177263,45538402
Armenia,ARM,2023,2.524371,2943398
Aruba,ABW,2023,8.213218,107946
Australia,AUS,2023,14.529289,26451126
Austria,AUT,2023,6.2328863,9130434
Azerbaijan,AZE,2023,4.142986,10318209
Bahamas,BHS,2023,7.4004436,399452
Bahrain,BHR,2023,24.71003,1569674
Bangladesh,BGD,2023,0.60960233,171466986
Barbados,BRB,2023,4.6635275,282347
Belarus,BLR,2023,6.1143074,9115679
Belgium,BEL,2023,7.2316356,11712891
Belize,BLZ,2023,1.8643363,411112
Benin,BEN,2023,0.4200842,14111035
Bermuda,BMU,2023,8.183635,64721
Bhutan,BTN,2023,2.0723257,786386
Bolivia,BOL,2023,2.0107968,12244161
Bonaire Sint Eustatius and Saba,BES,2023,4.8885026,29920
Bosnia and Herzegovina,BIH,2023,6.242028,3185072
Botswana,BWA,2023,2.9225686,2480242
Brazil,BRA,2023,2.2922719,211140731
British Virgin Islands,VGB,2023,4.7523646,39009
Brunei,BRN,2023,27.241413,458959
Bulgaria,BGR,2023,5.076801,6795805
Burkina Faso,BFA,2023,0.273973,23025777
Burundi,BDI,2023,0.06579634,13689455
Cambodia,KHM,2023,1.2288593,17423884
Cameroon,CMR,2023,0.34169704,28372690
Canada,CAN,2023,13.880179,39299098
Cape Verde,CPV,2023,1.094112,522335
Central African Republic,CAF,2023,0.075552724,5152415
Chad,TCD,2023,0.14743946,19319075
Chile,CHL,2023,3.9475496,19658833
China,CHN,2023,8.556261,1422584930
Colombia,COL,2023,1.7199993,52321152
Comoros,COM,2023,0.6375075,850390
Congo,COG,2023,1.3382533,6182890
Cook Islands,COK,2023,5.376369,14244
Costa Rica,CRI,2023,1.6594821,5105526
Cote d'Ivoire,CIV,2023,0.45089495,31165653
Croatia,HRV,2023,4.740115,3896023
Cuba,CUB,2023,2.1298018,11019932
Curacao,CUW,2023,11.890415,185437
Cyprus,CYP,2023,5.3443794,1344981
Czechia,CZE,2023,7.6997585,10809722
Democratic Republic of Congo,COD,2023,0.05559222,105789733
Denmark,DNK,2023,4.8470974,5948134
Djibouti,DJI,2023,0.48359296,1152951
Dominica,DMA,2023,2.4730878,66531
Dominican Republic,DOM,2023,2.8089135,11331269
East Timor,TLS,2023,0.45995858,1384292
Ecuador,ECU,2023,2.4805002,17980079
Egypt,EGY,2023,2.1847339,114535772
El Salvador,SLV,2023,1.3740716,6309629
Equatorial Guinea,GNQ,2023,3.7418964,1847556
Eritrea,ERI,2023,0.21064918,3470391
Estonia,EST,2023,6.3957644,1367195
Eswatini,SWZ,2023,0.8367388,1230507
Ethiopia,ETH,2023,0.13653299,128691695
Faroe Islands,FRO,2023,13.037725,54738
Fiji,FJI,2023,1.4955322,924150
Finland,FIN,2023,5.6771917,5601185
France,FRA,2023,4.067842,66438828
French Polynesia,PYF,2023,3.139173,281125
Gabon,GAB,2023,2.1414058,2484790
Gambia,GMB,2023,0.2863896,2697846
Georgia,GEO,2023,3.1312468,3807494
Germany,DEU,2023,7.022808,84548233
Ghana,GHA,2023,0.5959423,33787916
