date,mean_c,max_c
2024-01-01,3.4,7.1
2024-01-02,5.5,7.9
2024-01-03,9.2,11.8
2024-01-04,6.9,10.2
2024-01-05,4.7,6.5
2024-01-06,4.4,6.5
2024-01-07,3.6,5.3
2024-01-08,-0.2,2.1
2024-01-09,-0.6,0.4
2024-01-10,0.4,3.3
2024-01-11,-0.9,1.6
2024-01-12,-1.3,2.6
2024-01-13,-0.7,2.0
2024-01-14,-1.2,3.1
2024-01-15,1.6,4.2
2024-01-16,1.0,4.6
2024-01-17,5.1,8.9
2024-01-18,7.0,9.8
2024-01-19,0.5,1.6
2024-01-20,-0.9,1.9
2024-01-21,-0.2,6.8
2024-01-22,1.8,7.2
2024-01-23,5.7,10.3
2024-01-24,7.7,12.0
2024-01-25,8.3,13.5
2024-01-26,7.7,12.9
2024-01-27,6.2,8.5
2024-01-28,5.2,9.2
2024-01-29,4.6,8.7
2024-01-30,4.7,9.4
2024-01-31,4.0,8.5
2024-02-01,3.7,6.6
2024-02-02,6.0,8.6
2024-02-03,4.5,10.9
2024-02-04,2.6,10.1
2024-02-05,2.4,10.5
2024-02-06,2.5,10.4
2024-02-07,3.9,10.4
2024-02-08,8.0,11.6
2024-02-09,8.8,10.4
2024-02-10,7.0,9.1
2024-02-11,5.3,8.9
2024-02-12,5.3,9.4
2024-02-13,4.9,9.7
2024-02-14,6.9,13.2
2024-02-15,6.4,11.8
2024-02-16,6.8,14.8
2024-02-17,7.9,13.3
2024-02-18,8.8,13.2
2024-02-19,9.0,12.2
2024-02-20,7.5,10.3
2024-02-21,6.1,11.5
2024-02-22,9.0,10.9
2024-02-23,5.3,9.0
2024-02-24,3.9,8.7
2024-02-25,4.0,10.0
2024-02-26,6.4,11.5
2024-02-27,6.8,9.2
2024-02-28,7.7,9.9
2024-02-29,6.3,10.7
2024-03-01,6.7,10.1
2024-03-02,5.7,10.7
2024-03-03,7.1,11.6
2024-03-04,6.3,9.3
2024-03-05,6.1,10.2
2024-03-06,4.7,7.9
2024-03-07,3.8,9.4
2024-03-08,4.4,9.2
2024-03-09,6.6,10.0
2024-03-10,6.5,9.7
2024-03-11,5.8,11.0
2024-03-12,6.5,10.8
2024-03-13,9.0,13.5
2024-03-14,10.2,17.8
2024-03-15,10.1,15.5
2024-03-16,10.2,14.1
2024-03-17,8.8,13.7
2024-03-18,11.4,16.9
2024-03-19,10.1,14.1
2024-03-20,11.0,17.9
2024-03-21,12.4,19.7
2024-03-22,11.4,19.0
2024-03-23,8.3,11.2
2024-03-24,6.1,8.8
2024-03-25,5.9,10.4
2024-03-26,9.1,13.6
2024-03-27,5.3,8.2
2024-03-28,6.9,12.5
2024-03-29,12.1,20.8
2024-03-30,10.4,13.6
2024-03-31,9.9,14.9
2024-04-01,8.7,12.0
2024-04-02,8.5,13.5
2024-04-03,8.4,12.2
2024-04-04,11.3,18.2
2024-04-05,13.4,21.3
2024-04-06,14.3,22.7
2024-04-07,15.4,23.8
2024-04-08,15.9,21.8
2024-04-09,9.7,15.6
2024-04-10,7.8,10.9
2024-04-11,9.6,14.5
2024-04-12,12.7,18.1
2024-04-13,15.4,22.0
2024-04-14,18.1,26.3
2024-04-15,15.0,19.0
2024-04-16,9.0,11.4
2024-04-17,6.9,9.6
2024-04-18,5.7,8.5
2024-04-19,5.9,9.7
2024-04-20,6.5,9.9
2024-04-21,5.3,8.1
2024-04-22,4.2,6.9
2024-04-23,5.5,8.2
2024-04-24,5.5,10.0
2024-04-25,5.5,11.9
2024-04-26,8.7,12.5
2024-04-27,10.4,15.9
2024-04-28,10.7,12.3
2024-04-29,12.4,16.8
2024-04-30,13.8,19.9
2024-05-01,13.4,19.5
2024-05-02,10.6,12.5
2024-05-03,10.7,15.0
2024-05-04,11.7,17.8
2024-05-05,15.4,20.6
2024-05-06,11.8,13.0
2024-05-07,10.7,12.8
2024-05-08,12.7,16.3
2024-05-09,12.5,17.0
2024-05-10,15.0,20.4
2024-05-11,17.1,23.1
2024-05-12,17.8,23.5
2024-05-13,16.3,20.0
2024-05-14,14.5,19.0
2024-05-15,13.7,16.4
2024-05-16,12.0,15.1
2024-05-17,12.8,18.4
2024-05-18,13.7,18.8
2024-05-19,14.4,20.0
2024-05-20,16.0,20.8
2024-05-21,14.9,19.0
2024-05-22,14.7,18.7
2024-05-23,13.1,16.5
2024-05-24,13.4,16.6
2024-05-25,14.4,19.5
2024-05-26,17.1,23.7
2024-05-27,15.5,19.0
2024-05-28,14.4,18.4
2024-05-29,15.3,20.1
2024-05-30,15.1,17.7
2024-05-31,11.6,15.2
2024-06-01,14.2,18.4
2024-06-02,14.2,17.1
2024-06-03,15.9,19.1
2024-06-04,16.9,22.2
2024-06-05,18.4,23.7
2024-06-06,18.1,24.8
2024-06-07,19.3,25.7
2024-06-08,19.1,25.4
2024-06-09,18.3,22.6
2024-06-10,17.1,21.4
2024-06-11,13.8,16.9
2024-06-12,13.8,18.0
2024-06-13,14.7,19.5
2024-06-14,16.1,20.9
2024-06-15,16.1,19.1
2024-06-16,16.7,22.5
2024-06-17,19.1,25.3
2024-06-18,21.6,27.9
2024-06-19,21.8,28.8
2024-06-20,20.7,24.0
2024-06-21,18.0,20.1
2024-06-22,15.8,19.2
2024-06-23,16.2,19.5
2024-06-24,18.7,23.7
2024-06-25,20.5,26.4
2024-06-26,20.3,24.6
2024-06-27,22.6,28.6
2024-06-28,23.2,30.5
2024-06-29,23.1,27.5
2024-06-30,19.5,21.9
2024-07-01,18.8,23.6
2024-07-02,17.7,21.8
2024-07-03,16.3,19.3
2024-07-04,17.6,22.4
2024-07-05,19.3,25.8
2024-07-06,18.9,22.8
2024-07-07,17.4,20.4
2024-07-08,20.4,26.1
2024-07-09,22.7,29.3
2024-07-10,22.2,27.0
2024-07-11,21.9,26.6
2024-07-12,20.4,24.1
2024-07-13,17.7,22.7
2024-07-14,19.1,24.5
2024-07-15,21.9,27.8
2024-07-16,20.9,24.5
2024-07-17,19.1,23.6
2024-07-18,21.3,26.7
2024-07-19,22.8,29.3
2024-07-20,24.0,29.0
2024-07-21,21.5,25.0
2024-07-22,20.7,24.7
2024-07-23,20.9,27.7
2024-07-24,20.8,26.1
2024-07-25,20.8,25.3
2024-07-26,22.3,28.8
2024-07-27,24.4,30.8
2024-07-28,22.4,26.1
2024-07-29,22.6,28.9
2024-07-30,26.4,32.2
2024-07-31,25.5,31.5
2024-08-01,23.0,27.9
2024-08-02,22.7,25.5
2024-08-03,22.3,27.3
2024-08-04,21.3,26.7
2024-08-05,22.0,26.9
2024-08-06,24.1,30.5
2024-08-07,22.1,26.0
2024-08-08,22.5,27.7
2024-08-09,23.8,29.3
2024-08-10,24.0,28.8
2024-08-11,25.5,30.5
2024-08-12,25.2,29.8
2024-08-13,25.3,31.8
2024-08-14,23.1,28.1
2024-08-15,23.1,28.6
2024-08-16,23.0,28.1
2024-08-17,22.9,27.1
2024-08-18,18.7,21.3
2024-08-19,19.1,22.5
2024-08-20,20.3,27.1
2024-08-21,18.7,24.1
2024-08-22,20.0,26.0
2024-08-23,21.9,28.6
2024-08-24,23.2,31.0
2024-08-25,18.6,21.4
2024-08-26,17.5,21.0
2024-08-27,18.6,23.5
2024-08-28,22.5,28.9
2024-08-29,24.1,30.4
2024-08-30,24.4,29.7
2024-08-31,23.8,29.4
2024-09-01,23.3,28.3
2024-09-02,21.7,25.8
2024-09-03,22.4,27.9
2024-09-04,20.2,23.5
2024-09-05,17.8,19.0
2024-09-06,17.7,22.3
2024-09-07,20.7,26.1
2024-09-08,18.3,20.3
2024-09-09,15.6,16.8
2024-09-10,15.3,19.1
2024-09-11,12.6,15.3
2024-09-12,11.1,13.8
2024-09-13,9.1,12.4
2024-09-14,11.1,14.3
2024-09-15,11.8,15.4
2024-09-16,12.5,15.9
2024-09-17,13.8,16.7
2024-09-18,12.4,15.9
2024-09-19,13.9,18.5
2024-09-20,15.5,20.6
2024-09-21,16.4,21.1
2024-09-22,16.3,19.3
2024-09-23,14.4,18.3
2024-09-24,13.3,16.8
2024-09-25,14.3,19.6
2024-09-26,14.4,16.0
2024-09-27,13.4,16.6
2024-09-28,10.9,12.9
2024-09-29,10.5,13.9
2024-09-30,14.5,19.4
2024-10-01,14.1,15.2
2024-10-02,14.0,16.3
2024-10-03,12.0,13.7
2024-10-04,11.1,13.1
2024-10-05,10.1,12.6
2024-10-06,10.1,13.9
2024-10-07,14.8,20.8
2024-10-08,13.6,15.8
2024-10-09,13.4,19.9
2024-10-10,13.5,15.9
2024-10-11,11.1,15.4
2024-10-12,10.0,15.1
2024-10-13,14.1,18.8
2024-10-14,13.4,17.8
2024-10-15,14.8,19.2
2024-10-16,15.3,18.2
2024-10-17,15.3,19.1
2024-10-18,13.8,16.2
2024-10-19,12.8,15.7
2024-10-20,12.5,16.3
2024-10-21,14.2,18.7
2024-10-22,14.9,19.0
2024-10-23,13.7,15.6
2024-10-24,13.2,16.0
2024-10-25,13.4,17.1
2024-10-26,12.7,15.7
2024-10-27,14.4,17.1
2024-10-28,13.4,17.0
2024-10-29,12.9,16.5
2024-10-30,12.5,16.2
2024-10-31,11.8,14.8
2024-11-01,11.5,15.6
2024-11-02,10.2,14.0
2024-11-03,10.1,13.7
2024-11-04,11.7,15.1
2024-11-05,11.7,15.1
2024-11-06,11.8,15.0
2024-11-07,10.6,13.5
2024-11-08,10.1,13.1
2024-11-09,10.3,13.7
2024-11-10,8.5,12.4
2024-11-11,8.0,10.6
2024-11-12,7.3,8.6
2024-11-13,5.8,7.4
2024-11-14,5.8,8.4
2024-11-15,4.7,8.1
2024-11-16,3.8,9.4
2024-11-17,4.7,10.0
2024-11-18,6.7,10.1
2024-11-19,7.1,9.4
2024-11-20,5.9,9.7
2024-11-21,3.3,7.9
2024-11-22,2.8,7.3
2024-11-23,1.6,4.6
2024-11-24,7.6,14.2
2024-11-25,9.6,15.6
2024-11-26,8.2,11.5
2024-11-27,6.0,10.1
2024-11-28,7.6,11.3
2024-11-29,4.6,6.8
2024-11-30,2.4,5.2
2024-12-01,2.4,6.4
2024-12-02,4.3,9.2
2024-12-03,5.0,8.5
2024-12-04,4.2,6.8
2024-12-05,2.1,4.6
2024-12-06,5.4,9.8
2024-12-07,3.4,7.2
2024-12-08,2.7,4.0
2024-12-09,4.1,5.2
2024-12-10,3.0,4.3
2024-12-11,2.1,4.1
2024-12-12,1.1,3.8
2024-12-13,1.2,4.6
2024-12-14,2.0,4.0
2024-12-15,3.0,6.6
2024-12-16,1.0,5.2
2024-12-17,2.8,8.0
2024-12-18,3.4,9.7
2024-12-19,4.5,10.4
2024-12-20,1.8,4.6
2024-12-21,0.8,4.1
2024-12-22,4.0,7.1
2024-12-23,1.6,4.3
2024-12-24,2.1,5.2
2024-12-25,2.7,5.7
2024-12-26,0.9,4.8
2024-12-27,1.5,5.4
2024-12-28,1.1,5.1
2024-12-29,1.2,5.3
2024-12-30,0.7,4.4
2024-12-31,1.2,6.6
