Entity,Code,Year,Coal
Bulgaria,BGR,2010,49.227085
Bulgaria,BGR,2011,55.104084
Bulgaria,BGR,2012,49.225143
Bulgaria,BGR,2013,45.072056
Bulgaria,BGR,2014,45.417732
Bulgaria,BGR,2015,46.253338
Bulgaria,BGR,2016,43.498768
Bulgaria,BGR,2017,46.654774
Bulgaria,BGR,2018,40.120407
Bulgaria,BGR,2019,39.341263
Bulgaria,BGR,2020,33.6572
Bulgaria,BGR,2021,36.19229
Bulgaria,BGR,2022,43.337315
Bulgaria,BGR,2023,29.266464
Bulgaria,BGR,2024,22.872065
Czechia,CZE,2010,55.03403
Czechia,CZE,2011,53.878117
Czechia,CZE,2012,50.796947
Czechia,CZE,2013,47.86404
Czechia,CZE,2014,47.92892
Czechia,CZE,2015,49.87271
Czechia,CZE,2016,51.18293
Czechia,CZE,2017,48.320892
Czechia,CZE,2018,47.443577
Czechia,CZE,2019,43.548763
Czechia,CZE,2020,38.701622
Czechia,CZE,2021,40.855843
Czechia,CZE,2022,44.046337
Czechia,CZE,2023,39.49868
Czechia,CZE,2024,36.42357
Denmark,DNK,2010,43.896774
Denmark,DNK,2011,39.817715
Denmark,DNK,2012,34.47825
Denmark,DNK,2013,41.288643
Denmark,DNK,2014,34.519352
Denmark,DNK,2015,24.704657
Denmark,DNK,2016,29.177631
Denmark,DNK,2017,20.097088
Denmark,DNK,2018,21.747766
Denmark,DNK,2019,11.270003
Denmark,DNK,2020,10.706788
Denmark,DNK,2021,13.274606
Denmark,DNK,2022,12.599545
Denmark,DNK,2023,7.465329
Denmark,DNK,2024,4.991443
Finland,FIN,2010,18.030754
Finland,FIN,2011,13.306122
Finland,FIN,2012,10.083795
Finland,FIN,2013,15.001402
Finland,FIN,2014,11.629956
Finland,FIN,2015,7.4624686
Finland,FIN,2016,10.138182
Finland,FIN,2017,8.67891
Finland,FIN,2018,8.24434
Finland,FIN,2019,6.3547587
Finland,FIN,2020,3.5239747
Finland,FIN,2021,3.7026765
Finland,FIN,2022,4.766524
Finland,FIN,2023,1.9136409
Finland,FIN,2024,1.0054512
Germany,DEU,2010,42.115635
Germany,DEU,2011,43.381817
Germany,DEU,2012,44.566887
Germany,DEU,2013,45.768555
Germany,DEU,2014,44.34909
Germany,DEU,2015,42.586483
Germany,DEU,2016,40.801533
Germany,DEU,2017,37.43599
Germany,DEU,2018,36.085278
Germany,DEU,2019,28.570713
Germany,DEU,2020,23.749449
Germany,DEU,2021,28.44531
Germany,DEU,2022,31.740402
Germany,DEU,2023,24.62504
Germany,DEU,2024,21.437933
Greece,GRC,2010,54.407345
Greece,GRC,2011,53.156544
Greece,GRC,2012,51.927895
Greece,GRC,2013,46.833424
Greece,GRC,2014,51.894398
Greece,GRC,2015,43.310482
Greece,GRC,2016,35.066864
Greece,GRC,2017,34.233578
Greece,GRC,2018,32.674397
Greece,GRC,2019,25.276329
Greece,GRC,2020,13.912861
Greece,GRC,2021,9.80826
Greece,GRC,2022,11.147669
Greece,GRC,2023,9.380748
Greece,GRC,2024,5.7288013
Hungary,HUN,2010,16.675589
Hungary,HUN,2011,17.990005
Hungary,HUN,2012,18.313114
Hungary,HUN,2013,20.812687
Hungary,HUN,2014,20.381083
Hungary,HUN,2015,19.09001
Hungary,HUN,2016,17.659975
Hungary,HUN,2017,14.975699
Hungary,HUN,2018,14.570984
Hungary,HUN,2019,11.756127
Hungary,HUN,2020,10.624285
Hungary,HUN,2021,8.337951
Hungary,HUN,2022,8.356624
Hungary,HUN,2023,7.00619
Hungary,HUN,2024,6.421053
Netherlands,NLD,2010,19.127857
Netherlands,NLD,2011,18.9897
Netherlands,NLD,2012,23.67263
Netherlands,NLD,2013,24.472952
Netherlands,NLD,2014,28.883448
Netherlands,NLD,2015,36.14093
Netherlands,NLD,2016,32.30958
Netherlands,NLD,2017,27.042398
Netherlands,NLD,2018,24.3855
Netherlands,NLD,2019,14.735527
