name,country,pop,lon,lat
Kyiv,Ukraine,2709000,30.5147,50.4353
Bucharest,Romania,1942000,26.098,44.4353
Kharkiv,Ukraine,1461000,36.2481,50.0019
Rostov,Russia,1052000,39.7107,47.2366
Dnipro,Ukraine,1050000,34.9981,48.4819
Odessa,Ukraine,991000,30.7081,46.492
Donetsk,Ukraine,988000,37.828,48.0019
Voronezh,Russia,844000,39.1868,51.6654
Chișinău,Moldova,688134,28.8577,47.005
Krasnodar,Russia,649851,39.0,45.02
Sevastopol,Russia,379200,33.5244,44.6039
Stavropol,Russia,363064,41.98,45.05
Sochi,Russia,327608,39.73,43.59
Iași,Romania,325914,27.5749,47.1683
Constanța,Romania,303399,28.61,44.2027
Zhytomyr,Ukraine,282192,28.6622,50.2456
Sukhumi,Georgia,81546,41.02,43.02
