Entity,Code,Year,Population
Austria,AUT,-10000,1465
Austria,AUT,-9000,1625
Austria,AUT,-8000,1802
Austria,AUT,-7000,2000
Austria,AUT,-6000,3000
Austria,AUT,-5000,4000
Austria,AUT,-4000,10000
Austria,AUT,-3000,20000
Austria,AUT,-2000,60000
Austria,AUT,-1000,100000
Austria,AUT,0,500000
Austria,AUT,100,550000
Austria,AUT,200,600000
Austria,AUT,300,550000
Austria,AUT,400,500000
Austria,AUT,500,450000
Austria,AUT,600,400000
Austria,AUT,700,450000
Austria,AUT,800,500000
Austria,AUT,900,600000
Austria,AUT,1000,700000
Austria,AUT,1100,900000
Austria,AUT,1200,1250000
Austria,AUT,1300,2000000
Austria,AUT,1400,1250000
Austria,AUT,1500,2000000
Austria,AUT,1600,2100000
Austria,AUT,1700,2120000
Austria,AUT,1710,2232611
Austria,AUT,1720,2345222
Austria,AUT,1730,2457833
Austria,AUT,1740,2570444
Austria,AUT,1750,2683055
Austria,AUT,1760,2783738
Austria,AUT,1770,2876469
Austria,AUT,1780,2969200
Austria,AUT,1790,3045800
Austria,AUT,1800,3000000
Austria,AUT,1801,3017451
Austria,AUT,1802,3035004
Austria,AUT,1803,3052658
Austria,AUT,1804,3070416
Austria,AUT,1805,3088277
Austria,AUT,1806,3106241
Austria,AUT,1807,3124310
Austria,AUT,1808,3142485
Austria,AUT,1809,3160765
Austria,AUT,1810,3179258
Austria,AUT,1811,3197752
Austria,AUT,1812,3216353
Austria,AUT,1813,3235063
Austria,AUT,1814,3253881
Austria,AUT,1815,3272809
Austria,AUT,1816,3291847
Austria,AUT,1817,3310996
Austria,AUT,1818,3330256
Austria,AUT,1819,3349015
Austria,AUT,1820,3367266
Austria,AUT,1821,3385004
Austria,AUT,1822,3402223
Austria,AUT,1823,3418916
Austria,AUT,1824,3435691
Austria,AUT,1825,3452549
Austria,AUT,1826,3469489
Austria,AUT,1827,3486512
Austria,AUT,1828,3503619
Austria,AUT,1829,3520820
Austria,AUT,1830,3538115
Austria,AUT,1831,3555505
Austria,AUT,1832,3572991
Austria,AUT,1833,3590572
Austria,AUT,1834,3608240
Austria,AUT,1835,3625995
Austria,AUT,1836,3643838
Austria,AUT,1837,3661768
Austria,AUT,1838,3679786
Austria,AUT,1839,3698789
Austria,AUT,1840,3718786
Austria,AUT,1841,3739787
Austria,AUT,1842,3761804
Austria,AUT,1843,3784847
Austria,AUT,1844,3808031
Austria,AUT,1845,3831357
Austria,AUT,1846,3854826
Austria,AUT,1847,3878438
Austria,AUT,1848,3902195
Austria,AUT,1849,3926782
Austria,AUT,1850,3952208
Austria,AUT,1851,3978557
Austria,AUT,1852,4005766
Austria,AUT,1853,4033846
Austria,AUT,1854,4062123
Austria,AUT,1855,4090598
Austria,AUT,1856,4119272
Austria,AUT,1857,4148148
Austria,AUT,1858,4177226
Austria,AUT,1859,4206120
Austria,AUT,1860,4234828
Austria,AUT,1861,4263344
Austria,AUT,1862,4291666
Austria,AUT,1863,4319789
Austria,AUT,1864,4348096
Austria,AUT,1865,4376588
Austria,AUT,1866,4405267
Austria,AUT,1867,4434134
Austria,AUT,1868,4463191
Austria,AUT,1869,4494618
Austria,AUT,1870,4528451
Austria,AUT,1871,4564726
Austria,AUT,1872,4603478
Austria,AUT,1873,4644744
Austria,AUT,1874,4686380
Austria,AUT,1875,4728390
Austria,AUT,1876,4770776
Austria,AUT,1877,4813542
Austria,AUT,1878,4856691
Austria,AUT,1879,4900094
Austria,AUT,1880,4943751
Austria,AUT,1881,4987664
Austria,AUT,1882,5031834
Austria,AUT,1883,5076261
Austria,AUT,1884,5121081
Austria,AUT,1885,5166297
Austria,AUT,1886,5211912
Austria,AUT,1887,5257929
Austria,AUT,1888,5304353
Austria,AUT,1889,5352739
Austria,AUT,1890,5403121
Austria,AUT,1891,5455531
Austria,AUT,1892,5510005
Austria,AUT,1893,5566578
Austria,AUT,1894,5623731
Austria,AUT,1895,5681470
Austria,AUT,1896,5739803
Austria,AUT,1897,5798734
Austria,AUT,1898,5858271
Austria,AUT,1899,5918416
Austria,AUT,1900,5979176
Austria,AUT,1901,6040557
Austria,AUT,1902,6102565
Austria,AUT,1903,6165207
Austria,AUT,1904,6228492
Austria,AUT,1905,6292427
Austria,AUT,1906,6357018
Austria,AUT,1907,6422272
Austria,AUT,1908,6488195
Austria,AUT,1909,6538009
Austria,AUT,1910,6571587
Austria,AUT,1911,6588803
Austria,AUT,1912,6589530
Austria,AUT,1913,6573637
Austria,AUT,1914,6557782
Austria,AUT,1915,6541966
Austria,AUT,1916,6526188
Austria,AUT,1917,6510448
Austria,AUT,1918,6494625
Austria,AUT,1919,6486496
Austria,AUT,1920,6486069
Austria,AUT,1921,6493353
Austria,AUT,1922,6508355
Austria,AUT,1923,6531083
Austria,AUT,1924,6553892
Austria,AUT,1925,6576779
Austria,AUT,1926,6599747
Austria,AUT,1927,6622795
Austria,AUT,1928,6645923
Austria,AUT,1929,6664878
Austria,AUT,1930,6679644
Austria,AUT,1931,6690204
Austria,AUT,1932,6696542
Austria,AUT,1933,6698643
Austria,AUT,1934,6700745
Austria,AUT,1935,6702847
Austria,AUT,1936,6704950
Austria,AUT,1937,6707053
Austria,AUT,1938,6709158
Austria,AUT,1939,6715380
Austria,AUT,1940,6725734
Austria,AUT,1941,6740236
Austria,AUT,1942,6758902
Austria,AUT,1943,6781747
Austria,AUT,1944,6804668
Austria,AUT,1945,6827667
Austria,AUT,1946,6850744
Austria,AUT,1947,6873899
Austria,AUT,1948,6897132
Austria,AUT,1949,6917983
Austria,AUT,1950,6936455
Austria,AUT,1951,6930487
Austria,AUT,1952,6927254
Austria,AUT,1953,6932083
Austria,AUT,1954,6939893
Austria,AUT,1955,6946659
Austria,AUT,1956,6952266
Austria,AUT,1957,6965838
Austria,AUT,1958,6987345
Austria,AUT,1959,7014270
Austria,AUT,1960,7047274
Austria,AUT,1961,7086060
Austria,AUT,1962,7129581
Austria,AUT,1963,7175502
Austria,AUT,1964,7223392
Austria,AUT,1965,7270413
Austria,AUT,1966,7321524
Austria,AUT,1967,7376293
Austria,AUT,1968,7414627
Austria,AUT,1969,7440306
Austria,AUT,1970,7466320
Austria,AUT,1971,7499635
Austria,AUT,1972,7543263
Austria,AUT,1973,7585107
Austria,AUT,1974,7597963
Austria,AUT,1975,7577833
Austria,AUT,1976,7564457
Austria,AUT,1977,7567332
Austria,AUT,1978,7561203
Austria,AUT,1979,7548345
Austria,AUT,1980,7548407
Austria,AUT,1981,7567550
Austria,AUT,1982,7573078
Austria,AUT,1983,7561166
Austria,AUT,1984,7560715
Austria,AUT,1985,7564310
Austria,AUT,1986,7569397
Austria,AUT,1987,7574314
Austria,AUT,1988,7585346
Austria,AUT,1989,7620405
Austria,AUT,1990,7679627
Austria,AUT,1991,7757140
Austria,AUT,1992,7842715
Austria,AUT,1993,7907492
Austria,AUT,1994,7938157
Austria,AUT,1995,7950322
Austria,AUT,1996,7960917
Austria,AUT,1997,7969804
Austria,AUT,1998,7978465
Austria,AUT,1999,7993894
Austria,AUT,2000,8012929
Austria,AUT,2001,8042233
Austria,AUT,2002,8081640
Austria,AUT,2003,8122604
Austria,AUT,2004,8173496
Austria,AUT,2005,8229204
Austria,AUT,2006,8269901
Austria,AUT,2007,8296948
Austria,AUT,2008,8323250
Austria,AUT,2009,8345073
Austria,AUT,2010,8365087
Austria,AUT,2011,8393272
Austria,AUT,2012,8431599
Austria,AUT,2013,8481411
Austria,AUT,2014,8547812
Austria,AUT,2015,8644037
Austria,AUT,2016,8737920
Austria,AUT,2017,8798779
Austria,AUT,2018,8841653
Austria,AUT,2019,8880876
Austria,AUT,2020,8921402
Austria,AUT,2021,8967053
Austria,AUT,2022,9064678
Austria,AUT,2023,9130434
France,FRA,-10000,16785
France,FRA,-9000,24260
France,FRA,-8000,35250
France,FRA,-7000,51458
France,FRA,-6000,77188
France,FRA,-5000,103544
France,FRA,-4000,204276
France,FRA,-3000,404335
France,FRA,-2000,998175
France,FRA,-1000,1986860
France,FRA,0,4938643
France,FRA,100,5694368
France,FRA,200,6430046
France,FRA,300,5697015
France,FRA,400,4964011
France,FRA,500,4720614
France,FRA,600,4477245
France,FRA,700,4723484
France,FRA,800,4969753
France,FRA,900,5705631
France,FRA,1000,6441540
France,FRA,1100,7667059
France,FRA,1200,10361347
France,FRA,1300,15806719
France,FRA,1400,10930934
France,FRA,1500,14867569
France,FRA,1600,18314626
France,FRA,1700,21992348
France,FRA,1710,22592830
France,FRA,1720,23193320
France,FRA,1730,23793820
France,FRA,1740,24394332
France,FRA,1750,24994858
France,FRA,1760,25571336
France,FRA,1770,26147834
France,FRA,1780,26724356
France,FRA,1790,27300910
France,FRA,1800,29000000
France,FRA,1801,29108552
France,FRA,1802,29217510
France,FRA,1803,29326876
France,FRA,1804,29436651
France,FRA,1805,29546838
France,FRA,1806,29657436
France,FRA,1807,29768449
France,FRA,1808,29879877
France,FRA,1809,29991722
France,FRA,1810,30104407
France,FRA,1811,30217092
France,FRA,1812,30330200
France,FRA,1813,30443731
France,FRA,1814,30557687
France,FRA,1815,30672069
France,FRA,1816,30786880
France,FRA,1817,30902120
France,FRA,1818,31017792
France,FRA,1819,31150340
France,FRA,1820,31299931
France,FRA,1821,31466736
France,FRA,1822,31650924
France,FRA,1823,31852668
France,FRA,1824,32055698
France,FRA,1825,32260022
France,FRA,1826,32465648
France,FRA,1827,32672585
France,FRA,1828,32880842
France,FRA,1829,33079302
France,FRA,1830,33267853
France,FRA,1831,33446379
France,FRA,1832,33614762
France,FRA,1833,33772885
France,FRA,1834,33931751
France,FRA,1835,34091365
France,FRA,1836,34251730
France,FRA,1837,34412849
France,FRA,1838,34574726
France,FRA,1839,34733003
France,FRA,1840,34887644
France,FRA,1841,35038615
France,FRA,1842,35185880
France,FRA,1843,35329405
France,FRA,1844,35473515
France,FRA,1845,35618212
France,FRA,1846,35763500
France,FRA,1847,35909381
France,FRA,1848,36055856
France,FRA,1849,36192055
France,FRA,1850,36317907
France,FRA,1851,36422915
France,FRA,1852,36517375
France,FRA,1853,36601225
France,FRA,1854,36685264
France,FRA,1855,36769494
France,FRA,1856,36853914
France,FRA,1857,36938524
France,FRA,1858,37023326
France,FRA,1859,37111533
France,FRA,1860,37203159
France,FRA,1861,37298222
France,FRA,1862,37396737
France,FRA,1863,37498719
France,FRA,1864,37600976
France,FRA,1865,37703510
France,FRA,1866,37806319
France,FRA,1867,37909406
France,FRA,1868,38012770
France,FRA,1869,38105310
France,FRA,1870,38186983
France,FRA,1871,38257751
France,FRA,1872,38317571
France,FRA,1873,38366403
France,FRA,1874,38415294
France,FRA,1875,38464245
France,FRA,1876,38513254
France,FRA,1877,38562323
France,FRA,1878,38611451
France,FRA,1879,38667543
France,FRA,1880,38730622
France,FRA,1881,38800708
France,FRA,1882,38877824
France,FRA,1883,38961992
France,FRA,1884,39046339
France,FRA,1885,39130866
France,FRA,1886,39215572
France,FRA,1887,39300458
France,FRA,1888,39385524
France,FRA,1889,39462823
France,FRA,1890,39532330
France,FRA,1891,39594021
France,FRA,1892,39647872
France,FRA,1893,39693861
France,FRA,1894,39739899
France,FRA,1895,39785987
France,FRA,1896,39832125
France,FRA,1897,39878314
France,FRA,1898,39924553
France,FRA,1899,39971493
France,FRA,1900,40019136
France,FRA,1901,40067484
France,FRA,1902,40116538
France,FRA,1903,40166299
France,FRA,1904,40216118
France,FRA,1905,40265996
France,FRA,1906,40315932
France,FRA,1907,40365927
France,FRA,1908,40415980
France,FRA,1909,40408851
France,FRA,1910,40344819
France,FRA,1911,40224160
France,FRA,1912,40047151
France,FRA,1913,39814066
France,FRA,1914,39582334
France,FRA,1915,39351947
France,FRA,1916,39122898
France,FRA,1917,38895178
France,FRA,1918,38680067
France,FRA,1919,38558175
France,FRA,1920,38529587
France,FRA,1921,38594388
France,FRA,1922,38752667
France,FRA,1923,39004517
France,FRA,1924,39258004
France,FRA,1925,39513139
France,FRA,1926,39769931
France,FRA,1927,40028393
France,FRA,1928,40288534
France,FRA,1929,40485273
France,FRA,1930,40618294
France,FRA,1931,40687278
France,FRA,1932,40691906
France,FRA,1933,40631855
France,FRA,1934,40571892
France,FRA,1935,40512018
France,FRA,1936,40452232
France,FRA,1937,40392535
France,FRA,1938,40332925
France,FRA,1939,40314566
France,FRA,1940,40337546
France,FRA,1941,40401955
France,FRA,1942,40507882
France,FRA,1943,40655418
France,FRA,1944,40803492
France,FRA,1945,40952105
France,FRA,1946,41101259
France,FRA,1947,41250956
France,FRA,1948,41401199
France,FRA,1949,41598134
France,FRA,1950,41883122
France,FRA,1951,42333662
France,FRA,1952,42780274
