Entity,Code,Year,Under-five mortality rate (selected)
Brazil,BRA,1931,22.3
Brazil,BRA,1932,22.47
Brazil,BRA,1933,22.67
Brazil,BRA,1934,22.87
Brazil,BRA,1935,23.1
Brazil,BRA,1936,23.32
Brazil,BRA,1937,23.49
Brazil,BRA,1938,23.68
Brazil,BRA,1939,23.81
Brazil,BRA,1940,23.92
Brazil,BRA,1941,23.97
Brazil,BRA,1942,23.94
Brazil,BRA,1943,23.85
Brazil,BRA,1944,23.75
Brazil,BRA,1945,23.57
Brazil,BRA,1946,23.31
Brazil,BRA,1947,23.01
Brazil,BRA,1948,22.68
Brazil,BRA,1949,22.3
Brazil,BRA,1950,21.9
Brazil,BRA,1951,21.47
Brazil,BRA,1952,21.01
Brazil,BRA,1953,20.54
Brazil,BRA,1954,20.04
Brazil,BRA,1955,19.52
Brazil,BRA,1956,19
Brazil,BRA,1957,18.49
Brazil,BRA,1958,17.97
Brazil,BRA,1959,17.47
Brazil,BRA,1960,16.98
Brazil,BRA,1961,16.5
Brazil,BRA,1962,16.04
Brazil,BRA,1963,15.61
Brazil,BRA,1964,15.22
Brazil,BRA,1965,14.85
Brazil,BRA,1966,14.5
Brazil,BRA,1967,14.16
Brazil,BRA,1968,13.84
Brazil,BRA,1969,13.53
Brazil,BRA,1970,13.21
Brazil,BRA,1971,12.89
Brazil,BRA,1972,12.56
Brazil,BRA,1973,12.23
Brazil,BRA,1974,11.89
Brazil,BRA,1975,11.54
Brazil,BRA,1976,11.18
Brazil,BRA,1977,10.8
Brazil,BRA,1978,10.41
Brazil,BRA,1979,10
Brazil,BRA,1980,9.58
Brazil,BRA,1981,9.15
Brazil,BRA,1982,8.73
Brazil,BRA,1983,8.33
Brazil,BRA,1984,7.98
Brazil,BRA,1985,7.65
Brazil,BRA,1986,7.36
Brazil,BRA,1987,7.09
Brazil,BRA,1988,6.81
Brazil,BRA,1989,6.55
Brazil,BRA,1990,6.28
Brazil,BRA,1991,6.01
Brazil,BRA,1992,5.71
Brazil,BRA,1993,5.39
Brazil,BRA,1994,5.08
Brazil,BRA,1995,4.77
Brazil,BRA,1996,4.47
Brazil,BRA,1997,4.19
Brazil,BRA,1998,3.93
Brazil,BRA,1999,3.68
Brazil,BRA,2000,3.44
Brazil,BRA,2001,3.22
Brazil,BRA,2002,3.01
Brazil,BRA,2003,2.82
Brazil,BRA,2004,2.63
Brazil,BRA,2005,2.46
Brazil,BRA,2006,2.31
Brazil,BRA,2007,2.17
Brazil,BRA,2008,2.05
Brazil,BRA,2009,1.95
Brazil,BRA,2010,1.86
Brazil,BRA,2011,1.79
Brazil,BRA,2012,1.72
Brazil,BRA,2013,1.67
Brazil,BRA,2014,1.63
Brazil,BRA,2015,1.6
Brazil,BRA,2016,1.68
Brazil,BRA,2017,1.54
Brazil,BRA,2018,1.52
Brazil,BRA,2019,1.5
Brazil,BRA,2020,1.49
Brazil,BRA,2021,1.47
Brazil,BRA,2022,1.46
Brazil,BRA,2023,1.44
Brazil,BRA,2024,1.42
India,IND,1911,33.34
India,IND,1912,33.83
India,IND,1913,31.71
India,IND,1914,34.47
India,IND,1915,32.85
India,IND,1916,32.85
India,IND,1917,33.34
India,IND,1918,43.36
India,IND,1919,36.41
India,IND,1920,31.71
India,IND,1921,32.2
India,IND,1922,28.44
India,IND,1923,28.6
India,IND,1924,30.73
India,IND,1925,28.27
India,IND,1926,30.73
India,IND,1927,27.16
India,IND,1928,28.11
India,IND,1929,28.93
India,IND,1930,29.42
India,IND,1931,29.1
India,IND,1932,27.47
India,IND,1933,27.78
India,IND,1934,30.41
India,IND,1935,26.68
India,IND,1936,26.35
India,IND,1937,26.35
India,IND,1938,27.16
India,IND,1939,25.32
India,IND,1940,26.02
India,IND,1941,25.67
India,IND,1942,26.52
India,IND,1943,26.85
India,IND,1944,27.47
India,IND,1945,24.43
India,IND,1950,26.68
India,IND,1953,26.82
India,IND,1954,26.42
India,IND,1955,26
India,IND,1956,25.6
India,IND,1957,25.22
India,IND,1958,24.84
India,IND,1959,24.48
India,IND,1960,24.13
India,IND,1961,23.81
India,IND,1962,23.5
India,IND,1963,23.22
India,IND,1964,22.96
India,IND,1965,22.7
India,IND,1966,22.45
India,IND,1967,22.21
India,IND,1968,21.97
India,IND,1969,21.71
India,IND,1970,21.44
India,IND,1971,21.14
India,IND,1972,20.82
India,IND,1973,20.45
India,IND,1974,20.06
India,IND,1975,19.61
India,IND,1976,19.13
India,IND,1977,18.61
India,IND,1978,18.07
India,IND,1979,17.52
India,IND,1980,16.98
India,IND,1981,16.46
India,IND,1982,15.98
India,IND,1983,15.52
India,IND,1984,15.1
India,IND,1985,14.68
India,IND,1986,14.28
India,IND,1987,13.88
India,IND,1988,13.48
India,IND,1989,13.09
India,IND,1990,12.7
India,IND,1991,12.34
India,IND,1992,11.99
India,IND,1993,11.65
India,IND,1994,11.31
India,IND,1995,10.97
India,IND,1996,10.62
India,IND,1997,10.27
India,IND,1998,9.91
India,IND,1999,9.54
India,IND,2000,9.18
India,IND,2001,8.81
India,IND,2002,8.46
India,IND,2003,8.11
India,IND,2004,7.77
India,IND,2005,7.43
India,IND,2006,7.1
India,IND,2007,6.78
India,IND,2008,6.45
India,IND,2009,6.12
India,IND,2010,5.81
India,IND,2011,5.5
India,IND,2012,5.2
India,IND,2013,4.91
India,IND,2014,4.64
India,IND,2015,4.37
India,IND,2016,4.13
India,IND,2017,3.9
India,IND,2018,3.69
India,IND,2019,3.49
India,IND,2020,3.3
India,IND,2021,3.12
India,IND,2022,2.95
India,IND,2023,2.8
India,IND,2024,2.66
Niger,NER,1967,32.11
Niger,NER,1968,32.48
Niger,NER,1969,32.88
Niger,NER,1970,33.29
Niger,NER,1971,33.71
Niger,NER,1972,34.09
Niger,NER,1973,34.35
Niger,NER,1974,34.46
Niger,NER,1975,34.35
Niger,NER,1976,34.08
Niger,NER,1977,33.66
Niger,NER,1978,33.18
Niger,NER,1979,32.76
Niger,NER,1980,32.5
Niger,NER,1981,32.45
Niger,NER,1982,32.65
Niger,NER,1983,33.02
Niger,NER,1984,33.45
Niger,NER,1985,33.85
Niger,NER,1986,34.13
Niger,NER,1987,34.21
Niger,NER,1988,34.1
Niger,NER,1989,33.77
Niger,NER,1990,33.24
Niger,NER,1991,32.54
Niger,NER,1992,31.67
Niger,NER,1993,30.64
Niger,NER,1994,29.43
Niger,NER,1995,28.18
Niger,NER,1996,26.94
Niger,NER,1997,25.79
Niger,NER,1998,24.72
Niger,NER,1999,23.75
Niger,NER,2000,22.79
Niger,NER,2001,21.74
Niger,NER,2002,20.59
Niger,NER,2003,19.41
Niger,NER,2004,18.24
Niger,NER,2005,17.14
Niger,NER,2006,16.16
Niger,NER,2007,15.31
Niger,NER,2008,14.6
Niger,NER,2009,14.03
Niger,NER,2010,13.6
Niger,NER,2011,13.27
Niger,NER,2012,13.03
Niger,NER,2013,12.83
Niger,NER,2014,12.68
Niger,NER,2015,12.54
Niger,NER,2016,12.43
Niger,NER,2017,12.31
Niger,NER,2018,12.19
Niger,NER,2019,12.08
Niger,NER,2020,11.95
Niger,NER,2021,11.8
Niger,NER,2022,11.6
Niger,NER,2023,11.35
Niger,NER,2024,11.07
Nigeria,NGA,1962,31.33
Nigeria,NGA,1963,31.13
Nigeria,NGA,1964,32.57
Nigeria,NGA,1965,31.88
Nigeria,NGA,1966,31.21
Nigeria,NGA,1967,30.54
Nigeria,NGA,1968,40.68
Nigeria,NGA,1969,39.72
Nigeria,NGA,1970,38.74
Nigeria,NGA,1971,27.63
Nigeria,NGA,1972,26.8
Nigeria,NGA,1973,25.98
Nigeria,NGA,1974,25.15
Nigeria,NGA,1975,24.33
Nigeria,NGA,1976,23.58
Nigeria,NGA,1977,22.88
Nigeria,NGA,1978,22.26
Nigeria,NGA,1979,21.71
Nigeria,NGA,1980,21.29
Nigeria,NGA,1981,20.97
Nigeria,NGA,1982,20.77
Nigeria,NGA,1983,20.67
Nigeria,NGA,1984,20.66
Nigeria,NGA,1985,20.69
Nigeria,NGA,1986,20.75
Nigeria,NGA,1987,20.8
Nigeria,NGA,1988,20.82
Nigeria,NGA,1989,20.8
Nigeria,NGA,1990,20.76
Nigeria,NGA,1991,20.67
Nigeria,NGA,1992,20.57
Nigeria,NGA,1993,20.46
Nigeria,NGA,1994,20.31
Nigeria,NGA,1995,20.1
Nigeria,NGA,1996,19.81
Nigeria,NGA,1997,19.43
Nigeria,NGA,1998,18.94
Nigeria,NGA,1999,18.36
Nigeria,NGA,2000,17.73
Nigeria,NGA,2001,17.05
Nigeria,NGA,2002,16.39
Nigeria,NGA,2003,15.74
Nigeria,NGA,2004,15.14
Nigeria,NGA,2005,14.58
Nigeria,NGA,2006,14.09
Nigeria,NGA,2007,13.65
Nigeria,NGA,2008,13.25
Nigeria,NGA,2009,12.92
Nigeria,NGA,2010,12.63
Nigeria,NGA,2011,12.38
Nigeria,NGA,2012,12.16
Nigeria,NGA,2013,11.99
Nigeria,NGA,2014,11.87
Nigeria,NGA,2015,11.78
Nigeria,NGA,2016,11.74
Nigeria,NGA,2017,11.72
Nigeria,NGA,2018,11.72
Nigeria,NGA,2019,11.74
Nigeria,NGA,2020,11.74
Nigeria,NGA,2021,11.76
Nigeria,NGA,2022,11.75
Nigeria,NGA,2023,11.68
Nigeria,NGA,2024,11.56
Rwanda,RWA,1954,25.01
Rwanda,RWA,1955,24.45
Rwanda,RWA,1956,24.55
Rwanda,RWA,1957,23.8
Rwanda,RWA,1958,23.08
Rwanda,RWA,1959,22.39
Rwanda,RWA,1960,21.77
Rwanda,RWA,1961,21.3
Rwanda,RWA,1962,20.96
Rwanda,RWA,1963,20.76
Rwanda,RWA,1964,20.7
Rwanda,RWA,1965,20.74
Rwanda,RWA,1966,20.88
Rwanda,RWA,1967,21.1
Rwanda,RWA,1968,21.36
Rwanda,RWA,1969,21.68
Rwanda,RWA,1970,22.03
Rwanda,RWA,1971,22.4
Rwanda,RWA,1972,22.78
Rwanda,RWA,1973,23.3
Rwanda,RWA,1974,23.9
Rwanda,RWA,1975,24.54
Rwanda,RWA,1976,25.02
Rwanda,RWA,1977,25.13
Rwanda,RWA,1978,24.62
Rwanda,RWA,1979,23.46
Rwanda,RWA,1980,21.9
Rwanda,RWA,1981,20.2
Rwanda,RWA,1982,18.66
Rwanda,RWA,1983,17.45
Rwanda,RWA,1984,16.66
Rwanda,RWA,1985,16.09
Rwanda,RWA,1986,15.57
Rwanda,RWA,1987,15.13
Rwanda,RWA,1988,14.81
Rwanda,RWA,1989,14.73
Rwanda,RWA,1990,15.07
Rwanda,RWA,1991,16.04
Rwanda,RWA,1992,17.56
Rwanda,RWA,1993,19.28
Rwanda,RWA,1994,38.9
Rwanda,RWA,1995,21.84
Rwanda,RWA,1996,22.23
Rwanda,RWA,1997,22.14
Rwanda,RWA,1998,21.39
Rwanda,RWA,1999,20.06
Rwanda,RWA,2000,18.42
Rwanda,RWA,2001,16.65
Rwanda,RWA,2002,14.91
Rwanda,RWA,2003,13.27
Rwanda,RWA,2004,11.75
Rwanda,RWA,2005,10.45
Rwanda,RWA,2006,9.34
Rwanda,RWA,2007,8.41
Rwanda,RWA,2008,7.6
Rwanda,RWA,2009,6.91
Rwanda,RWA,2010,6.33
Rwanda,RWA,2011,5.81
Rwanda,RWA,2012,5.42
Rwanda,RWA,2013,5.14
Rwanda,RWA,2014,4.92
Rwanda,RWA,2015,4.73
Rwanda,RWA,2016,4.58
Rwanda,RWA,2017,4.47
Rwanda,RWA,2018,4.37
Rwanda,RWA,2019,4.27
Rwanda,RWA,2020,4.16
Rwanda,RWA,2021,4.06
Rwanda,RWA,2022,3.97
Rwanda,RWA,2023,3.88
Rwanda,RWA,2024,3.77
Switzerland,CHE,1876,27.61
Switzerland,CHE,1877,28.51
Switzerland,CHE,1878,27.98
Switzerland,CHE,1879,25.71
Switzerland,CHE,1880,25.32
Switzerland,CHE,1881,26.22
Switzerland,CHE,1882,24.04
Switzerland,CHE,1883,22.06
Switzerland,CHE,1884,21.81
Switzerland,CHE,1885,23.1
Switzerland,CHE,1886,22.2
Switzerland,CHE,1887,21.62
Switzerland,CHE,1888,20.39
Switzerland,CHE,1889,21.78
Switzerland,CHE,1890,20.81
Switzerland,CHE,1891,22.54
Switzerland,CHE,1892,19.66
Switzerland,CHE,1893,20.48
Switzerland,CHE,1894,20.79
Switzerland,CHE,1895,20.33
Switzerland,CHE,1896,17.84
Switzerland,CHE,1897,18.12
Switzerland,CHE,1898,19.76
Switzerland,CHE,1899,18.07
Switzerland,CHE,1900,19.7
Switzerland,CHE,1901,18.35
Switzerland,CHE,1902,16.83
Switzerland,CHE,1903,16.9
Switzerland,CHE,1904,18.25
Switzerland,CHE,1905,16.92
Switzerland,CHE,1906,16.43
Switzerland,CHE,1907,15.47
Switzerland,CHE,1908,14.14
Switzerland,CHE,1909,15.06
Switzerland,CHE,1910,14.07
Switzerland,CHE,1911,15.41
Switzerland,CHE,1912,12.27
Switzerland,CHE,1913,12.52
Switzerland,CHE,1914,11.84
Switzerland,CHE,1915,11.25
Switzerland,CHE,1916,10.29
Switzerland,CHE,1917,10.39
Switzerland,CHE,1918,12.68
Switzerland,CHE,1919,11.07
Switzerland,CHE,1920,12.09
Switzerland,CHE,1921,9.53
Switzerland,CHE,1922,8.77
Switzerland,CHE,1923,7.78
Switzerland,CHE,1924,7.88
Switzerland,CHE,1925,7.71
Switzerland,CHE,1926,7.39
Switzerland,CHE,1927,7.42
Switzerland,CHE,1928,7.39
Switzerland,CHE,1929,6.97
Switzerland,CHE,1930,6.74
Switzerland,CHE,1931,6.52
Switzerland,CHE,1932,6.68
Switzerland,CHE,1933,6.11
Switzerland,CHE,1934,5.97
Switzerland,CHE,1935,6.27
Switzerland,CHE,1936,5.97
Switzerland,CHE,1937,6.05
Switzerland,CHE,1938,5.6
Switzerland,CHE,1939,5.45
Switzerland,CHE,1940,6.16
Switzerland,CHE,1941,5.43
Switzerland,CHE,1942,5.08
Switzerland,CHE,1943,5.13
Switzerland,CHE,1944,5.35
Switzerland,CHE,1945,5.13
Switzerland,CHE,1946,4.95
Switzerland,CHE,1947,4.78
Switzerland,CHE,1948,4.39
Switzerland,CHE,1949,4.21
Switzerland,CHE,1950,3.86
Switzerland,CHE,1951,3.72
Switzerland,CHE,1952,3.58
Switzerland,CHE,1953,3.45
Switzerland,CHE,1954,3.31
Switzerland,CHE,1955,3.16
Switzerland,CHE,1956,3.03
Switzerland,CHE,1957,2.9
Switzerland,CHE,1958,2.79
Switzerland,CHE,1959,2.72
Switzerland,CHE,1960,2.65
Switzerland,CHE,1961,2.6
Switzerland,CHE,1962,2.53
Switzerland,CHE,1963,2.45
Switzerland,CHE,1964,2.36
Switzerland,CHE,1965,2.26
Switzerland,CHE,1966,2.16
Switzerland,CHE,1967,2.07
Switzerland,CHE,1968,1.99
Switzerland,CHE,1969,1.92
Switzerland,CHE,1970,1.84
Switzerland,CHE,1971,1.76
Switzerland,CHE,1972,1.67
Switzerland,CHE,1973,1.57
Switzerland,CHE,1974,1.48
Switzerland,CHE,1975,1.38
Switzerland,CHE,1976,1.29
Switzerland,CHE,1977,1.21
Switzerland,CHE,1978,1.14
Switzerland,CHE,1979,1.09
Switzerland,CHE,1980,1.04
Switzerland,CHE,1981,1
Switzerland,CHE,1982,0.97
Switzerland,CHE,1983,0.94
Switzerland,CHE,1984,0.92
Switzerland,CHE,1985,0.9
Switzerland,CHE,1986,0.89
Switzerland,CHE,1987,0.88
Switzerland,CHE,1988,0.86
Switzerland,CHE,1989,0.84
Switzerland,CHE,1990,0.82
Switzerland,CHE,1991,0.78
Switzerland,CHE,1992,0.75
Switzerland,CHE,1993,0.71
Switzerland,CHE,1994,0.67
Switzerland,CHE,1995,0.64
Switzerland,CHE,1996,0.62
Switzerland,CHE,1997,0.6
Switzerland,CHE,1998,0.58
Switzerland,CHE,1999,0.57
Switzerland,CHE,2000,0.56
Switzerland,CHE,2001,0.55
Switzerland,CHE,2002,0.54
Switzerland,CHE,2003,0.53
Switzerland,CHE,2004,0.52
Switzerland,CHE,2005,0.51
Switzerland,CHE,2006,0.49
Switzerland,CHE,2007,0.48
Switzerland,CHE,2008,0.47
Switzerland,CHE,2009,0.46
Switzerland,CHE,2010,0.46
Switzerland,CHE,2011,0.45
Switzerland,CHE,2012,0.44
Switzerland,CHE,2013,0.44
Switzerland,CHE,2014,0.43
Switzerland,CHE,2015,0.43
Switzerland,CHE,2016,0.42
Switzerland,CHE,2017,0.41
Switzerland,CHE,2018,0.41
Switzerland,CHE,2019,0.4
Switzerland,CHE,2020,0.4
Switzerland,CHE,2021,0.4
Switzerland,CHE,2022,0.39
Switzerland,CHE,2023,0.39
Switzerland,CHE,2024,0.39
