Entity,Code,Year,Renewables
France,FRA,1990,13.128545
France,FRA,1991,12.974642
France,FRA,1992,15.182972
France,FRA,1993,13.944494
France,FRA,1994,16.747738
France,FRA,1995,15.0507765
France,FRA,1996,13.214124
France,FRA,1997,12.975907
France,FRA,1998,12.539284
France,FRA,1999,14.187551
France,FRA,2000,12.736593
France,FRA,2001,14.023221
France,FRA,2002,11.372541
France,FRA,2003,10.993866
France,FRA,2004,11.022427
France,FRA,2005,9.660189
France,FRA,2006,10.736824
France,FRA,2007,11.444539
France,FRA,2008,12.757065
France,FRA,2009,12.885964
France,FRA,2010,13.635394
France,FRA,2011,11.630405
France,FRA,2012,15.019909
France,FRA,2013,17.239706
France,FRA,2014,16.60398
France,FRA,2015,15.996098
France,FRA,2016,17.715267
France,FRA,2017,16.538311
France,FRA,2018,19.757393
France,FRA,2019,19.963926
France,FRA,2020,23.713608
France,FRA,2021,22.187494
France,FRA,2022,24.201088
France,FRA,2023,26.889639
France,FRA,2024,27.176117
France,FRA,2025,26.064074
Germany,DEU,1990,3.5222955
Germany,DEU,1991,3.167792
Germany,DEU,1992,3.6963484
Germany,DEU,1993,3.940698
Germany,DEU,1994,4.4966893
Germany,DEU,1995,4.8839316
Germany,DEU,1996,4.842858
Germany,DEU,1997,4.218753
Germany,DEU,1998,4.529731
Germany,DEU,1999,5.2269373
Germany,DEU,2000,6.2237453
Germany,DEU,2001,6.5429926
Germany,DEU,2002,7.621283
Germany,DEU,2003,7.7521048
Germany,DEU,2004,9.509515
Germany,DEU,2005,10.341735
Germany,DEU,2006,11.513804
Germany,DEU,2007,14.172081
Germany,DEU,2008,14.925115
Germany,DEU,2009,16.341248
Germany,DEU,2010,16.886946
Germany,DEU,2011,20.566942
Germany,DEU,2012,23.136122
Germany,DEU,2013,24.13092
Germany,DEU,2014,26.170504
Germany,DEU,2015,29.43505
Germany,DEU,2016,29.481544
Germany,DEU,2017,33.466778
Germany,DEU,2018,35.25811
Germany,DEU,2019,40.18897
Germany,DEU,2020,44.374065
Germany,DEU,2021,40.167233
Germany,DEU,2022,44.372704
Germany,DEU,2023,54.685036
Germany,DEU,2024,58.64231
Germany,DEU,2025,59.09245
Iceland,ISL,1990,99.761284
Iceland,ISL,1991,99.89846
Iceland,ISL,1992,99.89308
Iceland,ISL,1993,99.87287
Iceland,ISL,1994,99.89313
Iceland,ISL,1995,99.78912
Iceland,ISL,1996,99.87892
Iceland,ISL,1997,99.90772
Iceland,ISL,1998,99.90164
Iceland,ISL,1999,99.90988
Iceland,ISL,2000,100
Iceland,ISL,2001,100
Iceland,ISL,2002,99.88023
Iceland,ISL,2003,99.88152
Iceland,ISL,2004,100
Iceland,ISL,2005,100
Iceland,ISL,2006,100
Iceland,ISL,2007,100
Iceland,ISL,2008,100
Iceland,ISL,2009,100
Iceland,ISL,2010,100
Iceland,ISL,2011,100
Iceland,ISL,2012,100
Iceland,ISL,2013,100
Iceland,ISL,2014,100
Iceland,ISL,2015,100
Iceland,ISL,2016,100
Iceland,ISL,2017,100
Iceland,ISL,2018,100
Iceland,ISL,2019,100
Iceland,ISL,2020,100
Iceland,ISL,2021,100
Iceland,ISL,2022,100
Iceland,ISL,2023,100
Iceland,ISL,2024,100
Norway,NOR,1985,99.12482
Norway,NOR,1986,98.91349
Norway,NOR,1987,99.05163
Norway,NOR,1988,98.96836
Norway,NOR,1989,99.35569
Norway,NOR,1990,99.79441
Norway,NOR,1991,99.80101
Norway,NOR,1992,99.82068
Norway,NOR,1993,99.79954
Norway,NOR,1994,99.643875
Norway,NOR,1995,99.65644
Norway,NOR,1996,99.50329
Norway,NOR,1997,99.57466
Norway,NOR,1998,99.62206
Norway,NOR,1999,99.558426
Norway,NOR,2000,99.71232
Norway,NOR,2001,99.52193
Norway,NOR,2002,99.58537
Norway,NOR,2003,99.40002
Norway,NOR,2004,99.35513
Norway,NOR,2005,99.468124
Norway,NOR,2006,99.32355
Norway,NOR,2007,99.1404
Norway,NOR,2008,99.40506
Norway,NOR,2009,96.57174
Norway,NOR,2010,95.7934
Norway,NOR,2011,96.807755
Norway,NOR,2012,98.22821
Norway,NOR,2013,97.95704
Norway,NOR,2014,97.91312
Norway,NOR,2015,97.95106
Norway,NOR,2016,98.05444
Norway,NOR,2017,98.11829
Norway,NOR,2018,98.01974
Norway,NOR,2019,97.93768
Norway,NOR,2020,98.51607
Norway,NOR,2021,99.31903
Norway,NOR,2022,98.6453
Norway,NOR,2023,98.470345
Norway,NOR,2024,98.60607
Norway,NOR,2025,98.99882
Poland,POL,1985,1.6330947
Poland,POL,1986,1.3664162
Poland,POL,1987,1.2713172
Poland,POL,1988,1.3073299
Poland,POL,1989,1.1769234
Poland,POL,1990,1.1083837
Poland,POL,1991,1.130199
Poland,POL,1992,1.2396694
Poland,POL,1993,1.1762028
Poland,POL,1994,1.3354341
Poland,POL,1995,1.430135
Poland,POL,1996,1.4590268
Poland,POL,1997,1.5112815
Poland,POL,1998,1.7972579
Poland,POL,1999,1.6715479
Poland,POL,2000,1.6273223
Poland,POL,2001,1.9343166
Poland,POL,2002,1.943996
Poland,POL,2003,1.4999001
Poland,POL,2004,2.0978105
Poland,POL,2005,2.4792325
Poland,POL,2006,2.6695707
Poland,POL,2007,3.425435
Poland,POL,2008,4.2783175
Poland,POL,2009,5.7603073
Poland,POL,2010,6.940103
Poland,POL,2011,8.061645
Poland,POL,2012,10.453306
Poland,POL,2013,10.416412
Poland,POL,2014,12.535522
Poland,POL,2015,13.810103
Poland,POL,2016,13.740964
Poland,POL,2017,14.201635
Poland,POL,2018,12.760433
Poland,POL,2019,15.5985775
Poland,POL,2020,17.96373
Poland,POL,2021,17.092678
Poland,POL,2022,21.103022
Poland,POL,2023,27.706621
Poland,POL,2024,31.146875
Poland,POL,2025,31.507563
Spain,ESP,1985,25.20347
Spain,ESP,1986,21.030579
Spain,ESP,1987,21.065016
Spain,ESP,1988,25.885878
Spain,ESP,1989,13.563719
Spain,ESP,1990,17.220163
Spain,ESP,1991,17.975567
Spain,ESP,1992,12.5119705
Spain,ESP,1993,16.200361
Spain,ESP,1994,18.140957
Spain,ESP,1995,14.76949
Spain,ESP,1996,23.815022
Spain,ESP,1997,19.547401
Spain,ESP,1998,19.075443
Spain,ESP,1999,13.232504
Spain,ESP,2000,15.611987
Spain,ESP,2001,21.152443
Spain,ESP,2002,13.826017
Spain,ESP,2003,21.667315
Spain,ESP,2004,18.12299
Spain,ESP,2005,14.603055
Spain,ESP,2006,17.642681
Spain,ESP,2007,19.31359
Spain,ESP,2008,20.061977
Spain,ESP,2009,25.481564
Spain,ESP,2010,32.83076
Spain,ESP,2011,30.023323
Spain,ESP,2012,29.586664
Spain,ESP,2013,39.582893
Spain,ESP,2014,40.17636
Spain,ESP,2015,35.025436
Spain,ESP,2016,38.65164
Spain,ESP,2017,32.282104
Spain,ESP,2018,38.271927
Spain,ESP,2019,37.331806
Spain,ESP,2020,43.854782
Spain,ESP,2021,46.44506
Spain,ESP,2022,42.803413
Spain,ESP,2023,51.51374
Spain,ESP,2024,57.336086
Spain,ESP,2025,55.858135
Switzerland,CHE,1985,57.540203
Switzerland,CHE,1986,58.11356
Switzerland,CHE,1987,58.904114
Switzerland,CHE,1988,59.977894
Switzerland,CHE,1989,55.490753
Switzerland,CHE,1990,53.9795
Switzerland,CHE,1991,56.006077
Switzerland,CHE,1992,55.767498
Switzerland,CHE,1993,58.93239
Switzerland,CHE,1994,59.91988
Switzerland,CHE,1995,56.87249
Switzerland,CHE,1996,51.231163
Switzerland,CHE,1997,55.186493
Switzerland,CHE,1998,53.99988
Switzerland,CHE,1999,59.41687
Switzerland,CHE,2000,56.987293
Switzerland,CHE,2001,59.39479
Switzerland,CHE,2002,55.190334
Switzerland,CHE,2003,54.667896
Switzerland,CHE,2004,54.423046
Switzerland,CHE,2005,55.865055
Switzerland,CHE,2006,51.71415
Switzerland,CHE,2007,54.914948
Switzerland,CHE,2008,55.683178
Switzerland,CHE,2009,55.54222
Switzerland,CHE,2010,56.729748
Switzerland,CHE,2011,54.103054
Switzerland,CHE,2012,59.489212
Switzerland,CHE,2013,59.20803
Switzerland,CHE,2014,58.033672
Switzerland,CHE,2015,62.23702
Switzerland,CHE,2016,61.882164
Switzerland,CHE,2017,62.776386
Switzerland,CHE,2018,58.651382
Switzerland,CHE,2019,59.869633
Switzerland,CHE,2020,62.20438
Switzerland,CHE,2021,66.58741
Switzerland,CHE,2022,58.311733
Switzerland,CHE,2023,63.165405
Switzerland,CHE,2024,67.44928
Switzerland,CHE,2025,67.82529
United Kingdom,GBR,1920,0.30181253
United Kingdom,GBR,1921,0.27739406
United Kingdom,GBR,1922,0.2366317
United Kingdom,GBR,1923,0.26380017
United Kingdom,GBR,1924,0.26657337
United Kingdom,GBR,1925,0.2425628
United Kingdom,GBR,1926,0.22985111
United Kingdom,GBR,1927,0.39112002
United Kingdom,GBR,1928,1.2342926
United Kingdom,GBR,1929,1.3938788
United Kingdom,GBR,1930,3.1183178
United Kingdom,GBR,1931,3.8679898
United Kingdom,GBR,1932,3.0689378
United Kingdom,GBR,1933,2.581972
United Kingdom,GBR,1934,3.182023
United Kingdom,GBR,1935,3.7659883
United Kingdom,GBR,1936,3.485176
United Kingdom,GBR,1937,3.483777
United Kingdom,GBR,1938,4.2791176
United Kingdom,GBR,1939,3.925196
United Kingdom,GBR,1940,2.9400036
United Kingdom,GBR,1941,2.716234
United Kingdom,GBR,1942,3.2557905
United Kingdom,GBR,1943,3.806408
United Kingdom,GBR,1944,3.2490857
United Kingdom,GBR,1945,3.2548265
United Kingdom,GBR,1946,2.92563
United Kingdom,GBR,1947,2.8079414
United Kingdom,GBR,1948,2.0297782
United Kingdom,GBR,1949,1.569261
United Kingdom,GBR,1950,2.0110085
United Kingdom,GBR,1951,3.0021698
United Kingdom,GBR,1952,3.1147432
United Kingdom,GBR,1953,3.0697017
United Kingdom,GBR,1954,3.4767582
United Kingdom,GBR,1955,2.2488146
United Kingdom,GBR,1956,2.7687392
United Kingdom,GBR,1957,3.210544
United Kingdom,GBR,1958,2.911904
United Kingdom,GBR,1959,2.72681
United Kingdom,GBR,1960,2.6701584
United Kingdom,GBR,1961,3.199951
United Kingdom,GBR,1962,2.9472182
United Kingdom,GBR,1963,2.2428377
United Kingdom,GBR,1964,2.3445444
United Kingdom,GBR,1965,2.7198205
United Kingdom,GBR,1966,2.5863836
United Kingdom,GBR,1967,2.6968093
United Kingdom,GBR,1968,1.922918
United Kingdom,GBR,1969,1.5777488
United Kingdom,GBR,1970,2.102336
United Kingdom,GBR,1971,1.5130988
United Kingdom,GBR,1972,1.470037
United Kingdom,GBR,1973,1.5638498
United Kingdom,GBR,1974,1.7162008
United Kingdom,GBR,1975,1.6142329
United Kingdom,GBR,1976,1.888269
United Kingdom,GBR,1977,1.6019771
United Kingdom,GBR,1978,1.6113201
United Kingdom,GBR,1979,1.6278278
United Kingdom,GBR,1980,1.5689231
United Kingdom,GBR,1981,1.7919708
United Kingdom,GBR,1982,1.8706697
United Kingdom,GBR,1983,1.8427788
United Kingdom,GBR,1984,1.8041953
United Kingdom,GBR,1985,1.3268555
United Kingdom,GBR,1986,1.5841147
United Kingdom,GBR,1987,1.3858436
United Kingdom,GBR,1988,1.5819995
United Kingdom,GBR,1989,1.5186039
United Kingdom,GBR,1990,1.792025
United Kingdom,GBR,1991,1.6228938
United Kingdom,GBR,1992,1.9654871
United Kingdom,GBR,1993,1.7702949
United Kingdom,GBR,1994,2.1374326
United Kingdom,GBR,1995,1.9797283
United Kingdom,GBR,1996,1.6216832
United Kingdom,GBR,1997,2.047509
United Kingdom,GBR,1998,2.3848252
United Kingdom,GBR,1999,2.6130652
United Kingdom,GBR,2000,2.628229
United Kingdom,GBR,2001,2.4794033
United Kingdom,GBR,2002,2.8716042
United Kingdom,GBR,2003,2.684513
United Kingdom,GBR,2004,3.5895612
United Kingdom,GBR,2005,4.2500315
United Kingdom,GBR,2006,4.5560956
United Kingdom,GBR,2007,4.959553
United Kingdom,GBR,2008,5.640683
United Kingdom,GBR,2009,6.699225
United Kingdom,GBR,2010,6.852327
United Kingdom,GBR,2011,9.565997
United Kingdom,GBR,2012,11.333718
United Kingdom,GBR,2013,14.851513
United Kingdom,GBR,2014,19.081284
United Kingdom,GBR,2015,24.599405
United Kingdom,GBR,2016,24.473732
United Kingdom,GBR,2017,29.238365
United Kingdom,GBR,2018,32.99976
United Kingdom,GBR,2019,36.596474
United Kingdom,GBR,2020,43.06478
United Kingdom,GBR,2021,39.7824
United Kingdom,GBR,2022,41.6107
United Kingdom,GBR,2023,46.378147
United Kingdom,GBR,2024,50.647522
United Kingdom,GBR,2025,51.97222
