entity,code
Albania,ALB
Austria,AUT
Belarus,BLR
Belgium,BEL
Bosnia and Herzegovina,BIH
Bulgaria,BGR
Croatia,HRV
Cyprus,CYP
Czechia,CZE
Denmark,DNK
Estonia,EST
Finland,FIN
France,FRA
Germany,DEU
Greece,GRC
Hungary,HUN
Iceland,ISL
Ireland,IRL
Italy,ITA
Latvia,LVA
Lithuania,LTU
Luxembourg,LUX
Malta,MLT
Moldova,MDA
Montenegro,MNE
Netherlands,NLD
North Macedonia,MKD
Norway,NOR
Poland,POL
Portugal,PRT
Romania,ROU
Russia,RUS
Serbia,SRB
Slovakia,SVK
Slovenia,SVN
Spain,ESP
Sweden,SWE
Switzerland,CHE
Turkey,TUR
Ukraine,UKR
United Kingdom,GBR
