seq,lon,lat
0,8.17921,48.093533
1,8.195079,48.076036
2,8.212087,48.056708
3,8.230642,48.04739
4,8.275564,48.04975
5,8.291515,48.04682
6,8.305919,48.038113
7,8.313975,48.027289
8,8.320486,48.015163
9,8.329356,48.002387
10,8.336111,47.998969
11,8.345388,47.998114
12,8.36378,47.998969
13,8.372,47.997423
14,8.37672,47.993598
15,8.381033,47.989081
16,8.387706,47.985378
17,8.419363,47.97956
18,8.435476,47.973171
19,8.442312,47.961493
20,8.44573,47.944892
21,8.455333,47.93419
22,8.47047,47.92947
23,8.490001,47.930732
24,8.508311,47.938788
25,8.519705,47.947781
26,8.530935,47.949083
27,8.548757,47.934434
28,8.562755,47.92654
29,8.597179,47.923692
30,8.614268,47.91706
31,8.639089,47.927354
32,8.764415,47.938178
33,8.764089,47.957831
34,8.781749,47.971544
35,8.844737,48.00198
36,8.894786,48.040595
37,8.918956,48.035468
38,8.927013,48.029975
39,8.914561,48.020087
40,8.914561,48.012641
41,8.942312,48.0185
42,8.956798,48.023261
43,8.963145,48.030056
44,8.961599,48.036811
45,8.959239,48.039903
46,8.959972,48.043158
47,8.967214,48.050482
48,8.974376,48.053046
49,8.993337,48.054714
50,8.997244,48.057644
51,9.013682,48.077989
52,9.050059,48.090888
53,9.087657,48.093126
54,9.107107,48.08157
55,9.114513,48.08157
56,9.123709,48.087714
57,9.138601,48.086982
58,9.172618,48.08157
59,9.180919,48.082709
60,9.202647,48.088975
61,9.210867,48.088202
62,9.214529,48.086249
63,9.217296,48.083808
64,9.223155,48.08157
65,9.34669,48.067328
66,9.377126,48.073065
67,9.402599,48.087348
68,9.462657,48.141954
69,9.511892,48.205105
70,9.518565,48.211859
71,9.524587,48.223456
72,9.530447,48.232123
73,9.538992,48.239081
74,9.552745,48.245429
75,9.568126,48.248481
76,9.58489,48.248481
77,9.607921,48.245429
78,9.631277,48.239285
79,9.640147,48.238552
80,9.670339,48.239936
81,9.683767,48.238796
82,9.696707,48.239569
83,9.710378,48.245429
84,9.743663,48.272773
85,9.75823,48.280788
86,9.772878,48.284613
87,9.819591,48.287055
88,9.833995,48.291938
89,9.855154,48.307318
90,9.867442,48.314276
91,9.909597,48.326687
92,9.915782,48.327948
93,9.943126,48.346503
94,10.036388,48.433295
95,10.046153,48.437812
96,10.068044,48.442939
97,10.175792,48.451483
98,10.196544,48.456
99,10.234386,48.469753
100,10.313975,48.480292
101,10.370128,48.498155
102,10.387462,48.508734
103,10.394949,48.52322
104,10.399669,48.546454
105,10.412039,48.561469
106,10.429617,48.57038
107,10.570811,48.600857
108,10.608572,48.615912
109,10.656179,48.645819
110,10.694835,48.654731
111,10.709239,48.665961
112,10.721934,48.679511
113,10.73821,48.691107
114,10.805593,48.715766
115,10.884044,48.7331
116,11.3803,48.747423
117,11.395763,48.750434
118,11.403575,48.753119
119,11.430919,48.771674
120,11.440603,48.774237
121,11.519054,48.767401
122,11.605398,48.773749
123,11.648204,48.782009
124,11.683604,48.794135
125,11.749441,48.834662
126,11.758067,48.841498
127,11.766124,48.849392
128,11.774181,48.86164
129,11.785167,48.886827
130,11.793468,48.896552
131,11.798757,48.896796
132,11.813731,48.890692
133,11.820567,48.891628
134,11.834972,48.903998
135,11.858816,48.914984
136,11.881277,48.917751
137,11.958751,48.916612
138,11.965343,48.91767
139,11.970225,48.921413
140,11.97877,48.933458
141,11.985281,48.937445
142,11.999766,48.937934
143,12.01116,48.934516
144,12.021251,48.934394
145,12.03297,48.944892
146,12.01588,48.953315
147,12.00172,48.955878
148,11.99822,48.959825
149,12.031912,48.985907
150,12.039561,48.993964
151,12.038829,49.00495
152,12.03297,49.027533
153,12.115896,49.026475
154,12.157156,49.020453
155,12.190603,49.006415
156,12.220225,49.019314
157,12.265066,49.021796
158,12.312266,49.01496
159,12.348888,49.00019
160,12.343923,48.992377
161,12.332774,48.980333
162,12.328543,48.972235
163,12.413259,48.970811
164,12.444753,48.964667
165,12.458507,48.966091
166,12.465017,48.965399
167,12.470958,48.961737
168,12.472585,48.957221
169,12.474783,48.953396
170,12.482432,48.951768
171,12.502859,48.951768
172,12.506602,48.950507
173,12.511648,48.947821
174,12.518321,48.94538
175,12.527029,48.944892
176,12.527029,48.937445
177,12.517589,48.937934
178,12.51295,48.934841
179,12.5088,48.927598
180,12.5088,48.927598
181,12.506602,48.93126
182,12.5088,48.927598
183,12.506602,48.923855
184,12.5088,48.927598
185,12.513438,48.919745
186,12.52532,48.918891
187,12.539724,48.920844
188,12.553722,48.91767
189,12.540782,48.910834
190,12.540782,48.903998
191,12.553966,48.901638
192,12.575369,48.890163
193,12.584727,48.893419
194,12.592947,48.899115
195,12.616954,48.909044
196,12.625743,48.910834
197,12.654307,48.909125
198,12.677908,48.904731
199,12.74822,48.87991
200,12.752371,48.873236
201,12.75408,48.864325
202,12.758474,48.851833
203,12.764171,48.840522
204,12.770193,48.83572
205,12.783214,48.834296
206,12.80714,48.828559
207,12.8213,48.828233
208,12.833018,48.831081
209,12.862234,48.849392
210,12.874685,48.844672
211,12.911306,48.845649
212,12.917003,48.842312
213,12.955007,48.83572
214,12.972585,48.826483
215,13.016775,48.782538
216,13.027354,48.767401
217,13.030284,48.760565
218,13.032888,48.751247
219,13.029959,48.742987
220,13.016856,48.739529
221,13.005382,48.734565
222,13.010671,48.724921
223,13.021414,48.718288
224,13.027354,48.722439
225,13.037527,48.732123
226,13.060069,48.728461
227,13.083263,48.719184
228,13.095632,48.712185
229,13.086192,48.706366
230,13.08196,48.704698
231,13.09075,48.695258
232,13.111501,48.684149
233,13.115489,48.674343
234,13.167247,48.650092
235,13.190684,48.644477
236,13.235037,48.617987
237,13.259532,48.609158
238,13.318126,48.609158
239,13.379893,48.601671
240,13.388845,48.598904
241,13.413259,48.585761
242,13.424571,48.581855
243,13.486583,48.581855
244,13.520193,48.584825
245,13.62379,48.565619
246,13.641124,48.559353
247,13.657644,48.551337
248,13.672862,48.535712
249,13.726248,48.519802
250,13.746104,48.50906
251,13.801199,48.467882
252,13.823985,48.461249
253,13.871593,48.458767
254,13.894542,48.45185
255,13.941335,48.427354
256,13.958507,48.423448
257,13.986746,48.42414
258,13.999929,48.421739
259,14.010997,48.412869
260,14.018565,48.395697
261,14.027843,48.355658
262,14.037527,48.338487
263,14.049083,48.32921
264,14.062429,48.324774
265,14.09669,48.321723
266,14.11671,48.322943
267,14.152029,48.332953
268,14.168224,48.335395
269,14.240489,48.315985
270,14.278005,48.311469
271,14.307791,48.327948
272,14.319265,48.320909
273,14.333995,48.302558
274,14.342703,48.293809
275,14.37322,48.281521
276,14.395925,48.266303
277,14.4428,48.248887
278,14.459239,48.245429
279,14.564871,48.244086
280,14.582042,48.240058
281,14.597097,48.2331
282,14.610118,48.223334
283,14.63738,48.196967
284,14.65447,48.18655
285,14.675304,48.182318
286,14.818533,48.205512
287,14.832286,48.21308
288,14.846934,48.227362
289,14.861827,48.236884
290,14.879893,48.242214
291,14.929373,48.243842
292,14.94044,48.241889
293,14.952647,48.236925
294,14.987804,48.209093
295,15.003917,48.205105
296,15.027761,48.204169
297,15.051199,48.200019
298,15.060557,48.196234
299,15.078868,48.186103
300,15.087657,48.183132
301,15.104259,48.186794
302,15.133718,48.211982
303,15.15504,48.218085
304,15.240733,48.225531
305,15.323741,48.244005
306,15.356456,48.25849
307,15.384044,48.280788
308,15.397878,48.306708
309,15.41212,48.366238
310,15.42921,48.388048
311,15.467052,48.413153
312,15.489431,48.423407
313,15.508718,48.424384
314,15.512625,48.42182
315,15.519542,48.41531
316,15.524669,48.414008
317,15.608409,48.427191
318,15.639578,48.425645
319,15.673839,48.419867
320,15.710134,48.417792
321,15.723806,48.415229
322,15.751231,48.404731
323,15.763113,48.402899
324,15.811209,48.409003
325,15.833995,48.408759
326,15.856375,48.404364
327,15.876882,48.395046
328,15.911794,48.372382
329,15.94573,48.363389
330,16.094168,48.35932
331,16.208914,48.369818
332,16.22047,48.372504
333,16.243175,48.380968
334,16.254893,48.383734
335,16.28297,48.386013
336,16.297374,48.385037
337,16.31072,48.381659
338,16.321056,48.374864
339,16.352061,48.329617
340,16.371593,48.280788
341,16.393321,48.250759
342,16.418712,48.227322
343,16.487071,48.184638
344,16.549571,48.155056
345,16.586436,48.143256
346,16.749685,48.128974
347,16.864675,48.136908
348,16.914073,48.155341
349,16.922862,48.156684
350,16.941824,48.155585
351,16.947032,48.156684
352,16.950694,48.160712
353,16.960704,48.177191
354,16.987559,48.177354
355,17.010265,48.166531
356,17.031993,48.152615
357,17.056326,48.143622
358,17.132742,48.144802
359,17.151866,48.136176
360,17.146169,48.107978
361,17.157888,48.08572
362,17.180186,48.069851
363,17.206472,48.061103
364,17.206472,48.061103
365,17.242931,48.041327
366,17.256521,48.028103
367,17.261729,48.009304
368,17.272227,48.005561
369,17.337413,47.998969
370,17.36907,47.981472
371,17.471446,47.889106
372,17.481456,47.882921
