entity,code,t_per_person_2000,t_per_person_2023,population_2023
Aruba,ABW,26.787004,8.213218,107946
Afghanistan,AFG,0.052017,0.253682,41454762
Angola,AGO,0.987665,0.589792,36749909
Anguilla,AIA,7.199714,9.879252,14435
Albania,ALB,0.955397,1.571076,2811660
Andorra,AND,7.974552,5.170065,80869
United Arab Emirates,ARE,32.138012,19.772913,10642089
Argentina,ARG,3.852176,3.917726,45538402
Armenia,ARM,1.117025,2.524371,2943398
Antigua and Barbuda,ATG,4.743264,6.863025,93331
Australia,AUS,18.288157,14.529289,26451126
Austria,AUT,8.262151,6.232886,9130434
Azerbaijan,AZE,3.641113,4.142986,10318209
Burundi,BDI,0.041905,0.065796,13689455
Belgium,BEL,12.366287,7.231636,11712891
Benin,BEN,0.203961,0.420084,14111035
Bonaire Sint Eustatius and Saba,BES,6.493897,4.888503,29920
Burkina Faso,BFA,0.078049,0.273973,23025777
Bangladesh,BGD,0.197253,0.609602,171466986
Bulgaria,BGR,5.687045,5.076801,6795805
Bahrain,BHR,28.673351,24.710030,1569674
Bahamas,BHS,6.256653,7.400444,399452
Bosnia and Herzegovina,BIH,3.293952,6.242028,3185072
Belarus,BLR,5.506232,6.114307,9115679
Belize,BLZ,1.643261,1.864336,411112
Bermuda,BMU,8.390975,8.183635,64721
Bolivia,BOL,0.980939,2.010797,12244161
Brazil,BRA,1.954868,2.292272,211140731
Barbados,BRB,4.995379,4.663527,282347
Brunei,BRN,18.032026,27.241413,458959
Bhutan,BTN,0.664919,2.072326,786386
Botswana,BWA,2.252069,2.922569,2480242
Central African Republic,CAF,0.032497,0.075553,5152415
Canada,CAN,18.344023,13.880179,39299098
Switzerland,CHE,6.071895,3.604899,8870564
Chile,CHL,3.773477,3.947550,19658833
China,CHN,2.870088,8.556261,1422584930
Cote d'Ivoire,CIV,0.374601,0.450895,31165653
Cameroon,CMR,0.374754,0.341697,28372690
Democratic Republic of Congo,COD,0.033752,0.055592,105789733
Congo,COG,1.359497,1.338253,6182890
