age_band,male,female,year
0-4,222640,211390,2023
5-9,232332,220041,2023
10-14,228691,216464,2023
15-19,220727,208556,2023
20-24,236265,220433,2023
25-29,273794,261093,2023
30-34,316016,307406,2023
35-39,321756,314851,2023
40-44,316615,311263,2023
45-49,301101,298341,2023
50-54,318884,317037,2023
55-59,337549,332413,2023
60-64,292211,293052,2023
65-69,230172,241017,2023
70-74,190920,213252,2023
75-79,166155,194047,2023
80-84,110482,144880,2023
85-89,60739,96090,2023
90-94,23170,48626,2023
95-99,4616,13502,2023
100+,385,1586,2023
