Statistik,Gebiet,Masseinheit,Ortschaft,Jahr,Getoetete_Insgesamt,Getoetete_Kraftraeder_Versicherungskennzeichen,Getoetete_Elektrokleinstfahrzeuge,Getoetete_Kraftraeder_amtliches_Kennzeichen,Getoetete_Pkw,Getoetete_Busse,Getoetete_Landwirtschaftliche_Zugmaschinen,Getoetete_Gueterkraftfahrzeuge,Getoetete_sonstige_Kraftfahrzeuge,Getoetete_Fahrraeder_ohne_Elektroantrieb_ab_2014,Getoetete_Pedelecs_ab_2014,Getoetete_Fahrraeder_bis_2013,Getoetete_andere_Fahrzeuge_ab_1991,Getoetete_sonstige_Personen_ab_1991,Getoetete_andere_Fahrzeuge_und_sonstige_Personen_bis_1990,Getoetete_Fussgaenger_innen,,,,,,,,,,,,,,,,
Statistik der Strassenverkehrsunfaelle,Deutschland,Anzahl,Innerhalb und außerhalb von Ortschaften,2025,2832,55,33,481,1210,7,7,115,31,248,214,-,9,7,-,415,,,,,,,,,,,,,,,,
Statistik der Strassenverkehrsunfaelle,Deutschland,Anzahl,Innerhalb und außerhalb von Ortschaften,2024,2770,41,27,513,1165,8,11,103,27,250,195,-,19,9,-,402,,,,,,,,,,,,,,,,
Statistik der Strassenverkehrsunfaelle,Deutschland,Anzahl,Innerhalb und außerhalb von Ortschaften,2023,2839,53,21,497,1192,16,18,115,31,256,190,-,8,5,-,437,,,,,,,,,,,,,,,,
Statistik der Strassenverkehrsunfaelle,Deutschland,Anzahl,Innerhalb und außerhalb von Ortschaften,2022,2788,57,10,492,1192,8,21,127,21,266,208,-,11,7,-,368,,,,,,,,,,,,,,,,
Statistik der Strassenverkehrsunfaelle,Deutschland,Anzahl,Innerhalb und außerhalb von Ortschaften,2021,2562,56,5,473,1118,5,16,140,22,241,131,-,11,1,-,343,,,,,,,,,,,,,,,,
Statistik der Strassenverkehrsunfaelle,Deutschland,Anzahl,Innerhalb und außerhalb von Ortschaften,2020,2719,53,-,499,1170,10,20,124,29,284,142,-,9,3,-,376,,,,,,,,,,,,,,,,
Statistik der Strassenverkehrsunfaelle,Deutschland,Anzahl,Innerhalb und außerhalb von Ortschaften,2019,3046,63,-,542,1364,7,19,152,20,327,118,-,13,4,-,417,,,,,,,,,,,,,,,,
Statistik der Strassenverkehrsunfaelle,Deutschland,Anzahl,Innerhalb und außerhalb von Ortschaften,2018,3275,78,-,619,1424,9,20,174,24,356,89,-,18,6,-,458,,,,,,,,,,,,,,,,
Statistik der Strassenverkehrsunfaelle,Deutschland,Anzahl,Innerhalb und außerhalb von Ortschaften,2017,3180,59,-,583,1434,22,15,167,18,314,68,-,11,6,-,483,,,,,,,,,,,,,,,,
Statistik der Strassenverkehrsunfaelle,Deutschland,Anzahl,Innerhalb und außerhalb von Ortschaften,2016,3206,68,-,536,1531,4,9,133,19,331,62,-,13,10,-,490,,,,,,,,,,,,,,,,
Statistik der Strassenverkehrsunfaelle,Deutschland,Anzahl,Innerhalb und außerhalb von Ortschaften,2015,3459,62,-,639,1620,5,25,146,19,347,36,-,15,8,-,537,,,,,,,,,,,,,,,,
Statistik der Strassenverkehrsunfaelle,Deutschland,Anzahl,Innerhalb und außerhalb von Ortschaften,2014,3377,87,-,587,1575,13,27,143,12,357,39,-,10,4,-,523,,,,,,,,,,,,,,,,
Statistik der Strassenverkehrsunfaelle,Deutschland,Anzahl,Innerhalb und außerhalb von Ortschaften,2013,3339,73,-,568,1588,11,12,148,11,-,-,354,13,4,-,557,,,,,,,,,,,,,,,,
Statistik der Strassenverkehrsunfaelle,Deutschland,Anzahl,Innerhalb und außerhalb von Ortschaften,2012,3600,93,-,586,1791,3,15,154,18,-,-,406,7,7,-,520,,,,,,,,,,,,,,,,
Statistik der Strassenverkehrsunfaelle,Deutschland,Anzahl,Innerhalb und außerhalb von Ortschaften,2011,4009,70,-,708,1986,10,17,174,18,-,-,399,7,6,-,614,,,,,,,,,,,,,,,,
Statistik der Strassenverkehrsunfaelle,Deutschland,Anzahl,Innerhalb und außerhalb von Ortschaften,2010,3648,74,-,635,1840,32,16,162,19,-,-,381,8,5,-,476,,,,,,,,,,,,,,,,
