STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,crops,Crops,agprdmet,Agricultural production methods,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AL,Albania,2021,,0.09,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AL,Albania,2022,,0.06,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AL,Albania,2023,,0.07,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AL,Albania,2024,,0.07,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2000,,13.8,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2001,,14.0,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2002,,14.5,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2003,,15.4,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2004,,16.0,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2005,,16.7,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2006,,16.7,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2007,,17.0,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2008,,17.4,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2009,,18.5,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2010,,19.5,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2011,,19.6,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2012,,18.62,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2013,,18.40,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2014,,19.35,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2015,,20.30,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2016,,21.25,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2017,,23.37,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2018,,24.08,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2019,,25.33,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,AT,Austria,2020,,25.69,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2000,,1.5,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2001,,1.6,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2002,,2.1,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2003,,1.7,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2004,,1.7,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2005,,1.7,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2006,,2.1,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2007,,2.4,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2008,,2.6,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2009,,3,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2010,,3.6,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2011,,4.1,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2012,,4.48,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2013,,4.67,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2014,,5.00,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2015,,5.17,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2016,,5.80,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2017,,6.28,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2018,,6.56,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2019,,6.85,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2020,,7.25,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2021,,7.48,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2022,,7.60,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2023,,7.56,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BE,Belgium,2024,,7.43,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BG,Bulgaria,2005,,0.2,,e,estimated,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BG,Bulgaria,2006,,0.1,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BG,Bulgaria,2007,,0.3,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BG,Bulgaria,2008,,0.3,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BG,Bulgaria,2009,,0.2,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BG,Bulgaria,2010,,0.5,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BG,Bulgaria,2011,,0.5,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BG,Bulgaria,2012,,0.76,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BG,Bulgaria,2013,,1.13,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BG,Bulgaria,2014,,0.96,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BG,Bulgaria,2015,,2.37,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BG,Bulgaria,2016,,3.20,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BG,Bulgaria,2017,,2.72,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BG,Bulgaria,2018,,2.56,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BG,Bulgaria,2019,,2.34,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BG,Bulgaria,2020,,2.30,,,,,
dataflow,ESTAT:SDG_02_40(1.0),Area under organic farming,A,Annual,PC_UAA,Percentage of total utilised agricultural area,UAAXK0000,Utilised agricultural area excluding kitchen gardens,TOTAL,Total fully converted and under conversion to organic farming,BG,Bulgaria,2021,,1.71,,,,,
