"freq,unit,geo\TIME_PERIOD",2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 ,2024 
"A,P_THAB,AT",: ,: ,: ,: ,: ,: ,11.6 ,8.8 ,8.8 ,10.5 ,11.3 ,11.8 
"A,P_THAB,BE",24.2 ,24 ,24.4 ,24.2 ,22.8 ,22.3 ,21.4 ,16.7 ,17.4 ,20.5 ,20.6 ,20.6 
"A,P_THAB,BG",18.6 ,20 ,20.1 ,19.2 ,20.5 ,21.1 ,20.7 ,22.7 ,24.4 ,25.7 ,26.3 ,23.4 
"A,P_THAB,CY",23.9 ,22.2 ,26.6 ,28.4 ,28.9 ,28 ,30.1 ,28.9 ,25 ,33.5 ,: ,23.5 
"A,P_THAB,CZ",: ,: ,: ,: ,: ,: ,16.9 ,13.4 ,13.7 ,17.1 ,18.1 ,19 b
"A,P_THAB,DE",: d,: ,: ,: ,: ,: ,: ,: ,: ,: ,13.3 ,13.8 
"A,P_THAB,DK",17.5 ,17.2 ,17.5 ,17 ,16.2 ,15.6 ,15.3 ,14.3 ,14.4 ,15.2 ,16.2 ,16.1 b
"A,P_THAB,EE",12 ,11.9 ,12.1 ,12 ,11.6 ,11.8 ,11.8 ,10.5 ,10.1 ,12.4 ,12.7 ,13 
"A,P_THAB,EL",29.8 ,31 ,33.2 ,33.1 ,34.2 ,34.1 ,34.1 ,28.1 ,23.5 ,32.9 ,28.5 b,29.9 
"A,P_THAB,ES",: ,: ,: ,27.5 ,26.8 ,26.2 ,24.9 ,19.7 ,20 ,23.2 ,24.1 ,24.2 
"A,P_THAB,EU27_2020",21.6 ,21.1 ,21.7 ,20.9 ,20.4 ,20.2 ,19.9 ,16.4 ,16.4 ,19.4 ,20 ,20.3 
"A,P_THAB,FI",19.6 ,19.1 ,18.1 ,17.4 ,15.7 ,15.4 ,14.7 ,11.9 ,11.3 ,12.5 ,12.9 ,13.7 
"A,P_THAB,FR",25.9 ,24.9 ,25.6 ,25.6 ,24.7 ,25.3 ,25.1 ,20.3 ,21.5 ,24.3 ,24.1 ,26.5 
"A,P_THAB,HR",19.2 ,19.4 ,19.7 ,18.7 ,18.6 ,18.8 ,18.8 ,15.7 ,18.2 ,20.2 ,21.2 ,22 
"A,P_THAB,HU",14.5 ,15.2 ,15.8 ,14.4 ,14.6 ,14.8 ,14.4 ,11.2 ,11.9 ,14.4 ,14.2 ,13.7 
"A,P_THAB,IE",21.6 ,21 ,23 ,22 ,20.9 ,22.4 ,22.8 ,18.6 ,17.8 ,23.1 ,22.4 ,23 
"A,P_THAB,IS",19.4 ,: ,: ,: ,20.7 ,20.4 ,19.3 ,16.5 ,16.8 ,18.6 ,18.5 ,19.6 
"A,P_THAB,IT",25.2 ,24.5 ,24.5 ,24 ,20.9 ,21.4 ,21.7 ,18.4 ,17.5 ,21.9 ,23.1 ,22.3 
"A,P_THAB,LT",16.7 ,14.7 ,15.4 ,15.7 ,16.3 ,16.1 ,16.3 ,14.2 ,14.1 ,18.5 ,18.7 ,19.7 
"A,P_THAB,LU",25 ,23.2 ,23.5 ,22.9 ,22.6 ,22.1 ,21.1 ,16.1 b,15.9 ,19.1 b,20.2 ,21.6 
"A,P_THAB,LV",13.7 ,13 ,12.6 ,13.4 ,13.9 ,13.8 ,13.9 ,11.9 ,11.6 ,14.9 ,14.9 ,15.4 
"A,P_THAB,MT",22.2 ,22.4 ,21.2 ,20.9 ,22.6 ,20.2 ,20.7 ,16.6 ,15.8 ,24 ,22.9 ,24.8 
"A,P_THAB,NL",10.5 ,10.3 ,10.4 ,10.1 ,9.8 ,9.7 ,9.5 ,8.5 ,8.3 ,9.1 ,9.6 ,9.8 
"A,P_THAB,NO",17.2 ,16.9 ,16.8 ,16.2 ,15.7 ,15.3 ,14.9 ,13.9 ,14 ,15.3 ,15.5 ,16.1 
"A,P_THAB,PL",: ,21.2 ,24.1 ,22 ,25.4 ,24.4 ,23.6 ,18.5 ,20.2 ,23.6 ,23.2 ,22.6 
"A,P_THAB,PT",17.6 ,18 ,18.8 ,19 ,18.3 ,19.1 ,19.3 ,15.2 ,15.3 ,18.8 ,19.7 ,20.8 
"A,P_THAB,RO",26.8 ,26.6 ,28 ,24.4 ,24.5 ,25.1 ,25.8 ,25.2 ,25.7 ,27.6 ,27.4 ,25.2 
"A,P_THAB,SE",14.2 ,14 ,13.5 ,13.2 ,12.8 ,12.4 ,11.8 ,10.3 ,10.1 ,11.2 b,: ,: 
"A,P_THAB,SI",13.3 ,13.1 ,13.3 ,13 ,13.1 ,13.2 ,13 ,10.2 ,10.2 ,12.4 ,13.4 ,14.4 
"A,P_THAB,SK",23.2 ,21.2 ,24.2 ,23.6 ,20 ,22 ,19.3 ,14.4 ,16 ,20.8 ,20.1 ,20.4 
