Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2299920,NTD_RAB2,COUNTRY,AGO,YEAR,AFR,Africa,,2018,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
8997991,NTD_RAB2,COUNTRY,SDN,YEAR,EMR,Eastern Mediterranean,,2011,,,,,,,,5,5.0,,,,2024-06-03T07:26:23.447+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4037217,NTD_RAB2,COUNTRY,FSM,YEAR,WPR,Western Pacific,,2013,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6022978,NTD_RAB2,COUNTRY,ARG,YEAR,AMR,Americas,,2019,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4854887,NTD_RAB2,COUNTRY,ARM,YEAR,EUR,Europe,,2019,,,,,,,,1,1.0,,,,2024-06-03T07:26:23.447+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
3575243,NTD_RAB2,COUNTRY,MYS,YEAR,WPR,Western Pacific,,2015,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2148495,NTD_RAB2,COUNTRY,ARG,YEAR,AMR,Americas,,2021,,,,,,,,1,1.0,,,,2024-06-03T07:26:23.447+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
8826283,NTD_RAB2,COUNTRY,TUN,YEAR,EMR,Eastern Mediterranean,,2021,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
2253746,NTD_RAB2,COUNTRY,TUR,YEAR,EUR,Europe,,2015,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5699669,NTD_RAB2,COUNTRY,KNA,YEAR,AMR,Americas,,2018,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
2490330,NTD_RAB2,COUNTRY,BGD,YEAR,SEAR,South-East Asia,,2012,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
5792078,NTD_RAB2,COUNTRY,BRA,YEAR,AMR,Americas,,2015,,,,,,,,2,2.0,,,,2024-06-03T07:26:23.447+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6016412,NTD_RAB2,COUNTRY,POL,YEAR,EUR,Europe,,2013,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2803670,NTD_RAB2,COUNTRY,GUY,YEAR,AMR,Americas,,2020,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
2856396,NTD_RAB2,COUNTRY,TLS,YEAR,SEAR,South-East Asia,,2021,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
8107585,NTD_RAB2,COUNTRY,VCT,YEAR,AMR,Americas,,2012,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1727424,NTD_RAB2,COUNTRY,MDG,YEAR,AFR,Africa,,2018,,,,,,,,17,17.0,,,,2024-06-03T07:26:23.447+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
3918522,NTD_RAB2,COUNTRY,DEU,YEAR,EUR,Europe,,2024,,,,,,,,No data,,,,,2025-09-09T13:40:51.93+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
9202229,NTD_RAB2,COUNTRY,LCA,YEAR,AMR,Americas,,2018,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
5838310,NTD_RAB2,COUNTRY,CPV,YEAR,AFR,Africa,,2023,,,,,,,,0,0.0,,,,2025-09-09T13:40:51.93+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
4267874,NTD_RAB2,COUNTRY,SMR,YEAR,EUR,Europe,,2011,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4525152,NTD_RAB2,COUNTRY,NIC,YEAR,AMR,Americas,,2017,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6425675,NTD_RAB2,COUNTRY,TUR,YEAR,EUR,Europe,,2023,,,,,,,,No data,,,,,2025-09-09T13:40:51.93+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
3093850,NTD_RAB2,COUNTRY,DMA,YEAR,AMR,Americas,,2018,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1538788,NTD_RAB2,COUNTRY,SEN,YEAR,AFR,Africa,,2011,,,,,,,,6,6.0,,,,2024-06-03T07:26:23.447+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
5198205,NTD_RAB2,COUNTRY,TON,YEAR,WPR,Western Pacific,,2015,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5211374,NTD_RAB2,COUNTRY,ISL,YEAR,EUR,Europe,,2020,,,,,,,,0,0.0,,,,2025-09-09T13:40:51.93+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
3687435,NTD_RAB2,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,,2022,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
8852760,NTD_RAB2,COUNTRY,TZA,YEAR,AFR,Africa,,2021,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
5574313,NTD_RAB2,COUNTRY,HTI,YEAR,AMR,Americas,,2022,,,,,,,,13,13.0,,,,2025-09-09T13:40:51.93+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
8991474,NTD_RAB2,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,,2017,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
