Code,Entity,Year,value
ABW,"Aruba",2023,76.353
AFG,"Afghanistan",2023,66.0346
AGO,"Angola",2023,64.617
AIA,"Anguilla",2023,79.3115
ALB,"Albania",2023,79.6019
AND,"Andorra",2023,84.0406
ARE,"United Arab Emirates",2023,82.9091
ARG,"Argentina",2023,77.3947
ARM,"Armenia",2023,75.6827
ASM,"American Samoa",2023,72.8518
ATG,"Antigua and Barbuda",2023,77.5976
AUS,"Australia",2023,83.9228
AUT,"Austria",2023,81.9559
AZE,"Azerbaijan",2023,74.4286
BDI,"Burundi",2023,63.6511
BEL,"Belgium",2023,82.115
BEN,"Benin",2023,60.7738
BES,"Bonaire Sint Eustatius and Saba",2023,77.4355
BFA,"Burkina Faso",2023,61.092
BGD,"Bangladesh",2023,74.6723
BGR,"Bulgaria",2023,75.6363
BHR,"Bahrain",2023,81.2835
BHS,"Bahamas",2023,74.5518
BIH,"Bosnia and Herzegovina",2023,77.8504
BLM,"Saint Barthelemy",2023,84.2901
BLR,"Belarus",2023,74.4339
BLZ,"Belize",2023,73.5656
BMU,"Bermuda",2023,82.3089
BOL,"Bolivia",2023,68.5814
BRA,"Brazil",2023,75.8482
BRB,"Barbados",2023,76.1782
BRN,"Brunei",2023,75.3266
BTN,"Bhutan",2023,72.9753
BWA,"Botswana",2023,69.1631
CAF,"Central African Republic",2023,57.4077
CAN,"Canada",2023,82.6302
CHE,"Switzerland",2023,83.9536
CHL,"Chile",2023,81.1667
CHN,"China",2023,77.9529
CIV,"Cote d'Ivoire",2023,61.9438
CMR,"Cameroon",2023,63.6996
COD,"Democratic Republic of Congo",2023,61.895
COG,"Congo",2023,65.772
COK,"Cook Islands",2023,75.2818
COL,"Colombia",2023,77.7246
COM,"Comoros",2023,66.7768
CPV,"Cape Verde",2023,76.0587
CRI,"Costa Rica",2023,80.7995
CUB,"Cuba",2023,78.0855
CUW,"Curacao",2023,76.7996
CYM,"Cayman Islands",2023,80.3576
CYP,"Cyprus",2023,81.648
CZE,"Czechia",2023,79.8341
DEU,"Germany",2023,81.3777
DJI,"Djibouti",2023,65.9865
DMA,"Dominica",2023,71.1325
DNK,"Denmark",2023,81.9328
DOM,"Dominican Republic",2023,73.7201
DZA,"Algeria",2023,76.261
ECU,"Ecuador",2023,77.3924
EGY,"Egypt",2023,71.6335
ERI,"Eritrea",2023,68.6239
ESH,"Western Sahara",2023,71.385
ESP,"Spain",2023,83.6703
EST,"Estonia",2023,79.1535
ETH,"Ethiopia",2023,67.315
FIN,"Finland",2023,81.9102
FJI,"Fiji",2023,67.3157
FLK,"Falkland Islands",2023,79.2132
FRA,"France",2023,83.3253
FRO,"Faroe Islands",2023,80.1792
FSM,"Micronesia (country)",2023,67.1983
GAB,"Gabon",2023,68.3367
GBR,"United Kingdom",2023,81.3015
GEO,"Georgia",2023,74.4965
GGY,"Guernsey",2023,83.2744
GHA,"Ghana",2023,65.4979
GIB,"Gibraltar",2023,83.553
GIN,"Guinea",2023,60.7405
GLP,"Guadeloupe",2023,82.0503
GMB,"Gambia",2023,65.8603
