employee_id,department,annual_salary_eur,years_service
EMP-0001,Logistique,26701,3
EMP-0002,Commercial,24411,23
EMP-0003,R&D,73007,13
EMP-0004,Support,18239,4
EMP-0005,Production,23488,3
EMP-0006,Logistique,35289,14
EMP-0007,Commercial,44170,3
EMP-0008,R&D,49975,14
EMP-0009,Support,23992,7
EMP-0010,Production,33496,11
EMP-0011,Logistique,18910,12
EMP-0012,Commercial,33183,4
EMP-0013,R&D,50973,31
EMP-0014,Support,31413,20
EMP-0015,Production,24982,23
EMP-0016,Logistique,18478,15
EMP-0017,Commercial,119775,31
EMP-0018,R&D,34290,21
EMP-0019,Support,19466,2
EMP-0020,Production,35383,20
EMP-0021,Logistique,26211,31
EMP-0022,Commercial,40778,5
EMP-0023,R&D,70549,4
EMP-0024,Support,33514,24
EMP-0025,Production,41210,29
EMP-0026,Logistique,24678,31
EMP-0027,Commercial,29992,25
EMP-0028,R&D,69951,10
EMP-0029,Support,25576,8
EMP-0030,Production,25840,22
EMP-0031,Logistique,33989,14
EMP-0032,Commercial,31001,14
EMP-0033,R&D,57091,18
EMP-0034,Support,17919,23
EMP-0035,Production,33495,8
EMP-0036,Logistique,35632,3
EMP-0037,Commercial,,25
EMP-0038,R&D,43351,30
EMP-0039,Support,28922,4
EMP-0040,Production,47001,7
EMP-0041,Logistique,27202,0
EMP-0042,Commercial,40723,23
EMP-0043,R&D,49844,13
EMP-0044,Support,28794,16
EMP-0045,Production,30567,31
EMP-0046,Logistique,29250,6
EMP-0047,Commercial,60308,30
EMP-0048,R&D,56742,1
EMP-0049,Support,21792,1
EMP-0050,Production,36989,5
EMP-0051,Logistique,33513,23
EMP-0052,Commercial,51519,14
EMP-0053,R&D,50451,21
EMP-0054,Support,31985,12
EMP-0055,Production,35981,33
EMP-0056,Logistique,29122,1
EMP-0057,Commercial,49483,12
EMP-0058,R&D,31426,22
EMP-0059,Support,38085,14
EMP-0060,Production,21614,21
EMP-0061,Logistique,20219,0
EMP-0062,Commercial,36935,5
EMP-0063,R&D,56418,24
EMP-0064,Support,46458,30
EMP-0065,Production,43124,21
EMP-0066,Logistique,35976,5
EMP-0067,Commercial,43279,8
EMP-0068,R&D,44781,30
EMP-0069,Support,30329,8
EMP-0070,Production,34994,8
EMP-0071,Logistique,23022,13
EMP-0072,Commercial,38089,20
EMP-0073,R&D,38520,8
EMP-0074,Support,,33
EMP-0075,Production,19503,32
EMP-0076,Logistique,23933,32
EMP-0077,Commercial,25144,11
EMP-0078,R&D,59321,9
EMP-0079,Support,20023,7
EMP-0080,Production,32273,33
EMP-0081,Logistique,30353,6
EMP-0082,Commercial,26705,1
EMP-0083,R&D,43806,32
EMP-0084,Support,28775,17
EMP-0085,Production,29516,30
EMP-0086,Logistique,29646,33
EMP-0087,Commercial,29236,12
EMP-0088,R&D,238530,7
EMP-0089,Support,25034,15
EMP-0090,Production,29673,19
EMP-0091,Logistique,16439,23
EMP-0092,Commercial,54532,31
EMP-0093,R&D,28861,14
EMP-0094,Support,20283,32
EMP-0095,Production,28621,22
EMP-0096,Logistique,21556,1
EMP-0097,Commercial,32911,1
EMP-0098,R&D,41889,18
EMP-0099,Support,27170,14
EMP-0100,Production,37251,8
EMP-0101,Logistique,26759,32
EMP-0102,Commercial,42554,5
