municipality,region,broadband_pct,households,measured
Commune-001,Sud,62.3,36895,2025-06-30
Commune-002,Est,89.8,30726,2025-06-30
Commune-003,Ouest,62.2,38704,2025-06-30
Commune-004,Centre,44.4,33758,2025-06-30
Commune-005,Nord,63.8,40446,2025-06-30
Commune-006,Sud,85.5,6378,2025-06-30
Commune-007,Est,61.9,9502,2025-06-30
Commune-008,Ouest,37.6,45655,2025-06-30
Commune-009,Centre,74.7,39232,2025-06-30
Commune-010,Nord,98.4,29897,2025-06-30
Commune-011,Sud,76.0,40551,2025-06-30
Commune-012,Est,75.7,41047,2025-06-30
Commune-013,Ouest,32.4,34837,2025-06-30
Commune-014,Centre,35.7,2546,2025-06-30
Commune-015,Nord,44.4,16065,2025-06-30
Commune-016,Sud,72.3,30614,2025-06-30
Commune-017,Est,53.7 %,38939,2025-06-30
Commune-018,Ouest,88.9,34231,2025-06-30
Commune-019,Centre,47.3,19487,2025-06-30
Commune-020,Nord,65.5,43624,2025-06-30
Commune-021,Sud,37.2,43123,2025-06-30
Commune-022,Est,50.4,36337,2025-06-30
Commune-023,Ouest,99.3,5662,2025-06-30
Commune-024,Centre,79.7,20872,2025-06-30
Commune-025,Nord,83.1,33822,2025-06-30
Commune-026,Sud,51.1,4812,2025-06-30
Commune-027,Est,69.8,7283,2025-06-30
Commune-028,Ouest,58.7,19274,2025-06-30
Commune-029,Centre,,1316,2025-06-30
Commune-030,Nord,89.2,245,2025-06-30
Commune-031,Sud,46.0,3639,2025-06-30
Commune-032,Est,63.5,46668,2025-06-30
Commune-033,Ouest,58.5,4996,2025-06-30
Commune-034,Centre,70.0 %,13218,2025-06-30
Commune-035,Nord,84.5,17890,2025-06-30
Commune-036,Sud,54.4,20605,2025-06-30
Commune-037,Est,54.1,27083,2025-06-30
Commune-038,Ouest,83.1,7942,2025-06-30
Commune-039,Centre,40.6,46545,2025-06-30
Commune-040,Nord,38.3,4135,2025-06-30
Commune-041,Sud,63.1,32114,2025-06-30
Commune-042,Est,43.5,36863,2025-06-30
Commune-043,Ouest,44.2,33559,2025-06-30
Commune-044,Centre,44.4,8793,2025-06-30
Commune-045,Nord,60.0,25359,2025-06-30
Commune-046,Sud,39.3,27784,2025-06-30
Commune-047,Est,98.9,240,2025-06-30
