name,lon,lat,category,wikidata_qid
United Nations Office at Geneva,6.140556,46.226667,UN system,Q680212
World Health Organization,6.134199,46.233535,UN system,Q7817
International Labour Organization,6.134280,46.229400,UN system,Q54129
World Intellectual Property Organization,6.136986,46.222065,UN system,Q177773
World Trade Organization,6.149444,46.224167,Other intergovernmental,Q7825
European Free Trade Association,6.138736,46.219944,Other intergovernmental,Q166546
Inter-Parliamentary Union,6.121882,46.230960,Other intergovernmental,Q176815
International Civil Defence Organisation,6.124202,46.191865,Other intergovernmental,Q162656
International Social Security Association,6.134157,46.229316,Other intergovernmental,Q689804
World Economic Forum,6.191689,46.225269,Other international body,Q170418
Aga Khan Development Network,6.145924,46.223749,Other international body,Q389812
