Entity,Code,Year,Life expectancy
Switzerland,CHE,1876,40.19
Switzerland,CHE,1877,39.99
Switzerland,CHE,1878,40.57
Switzerland,CHE,1879,41.83
Switzerland,CHE,1880,42.47
Switzerland,CHE,1881,41.94
Switzerland,CHE,1882,43.02
Switzerland,CHE,1883,45.02
Switzerland,CHE,1884,45.07
Switzerland,CHE,1885,43.92
Switzerland,CHE,1886,44.75
Switzerland,CHE,1887,45.46
Switzerland,CHE,1888,46
Switzerland,CHE,1889,45.18
Switzerland,CHE,1890,45.01
Switzerland,CHE,1891,44.81
Switzerland,CHE,1892,47.2
Switzerland,CHE,1893,46.08
Switzerland,CHE,1894,45.85
Switzerland,CHE,1895,46.93
Switzerland,CHE,1896,48.87
Switzerland,CHE,1897,49.1
Switzerland,CHE,1898,48.26
Switzerland,CHE,1899,49.31
Switzerland,CHE,1900,47.59
Switzerland,CHE,1901,48.97
Switzerland,CHE,1902,50.44
Switzerland,CHE,1903,50.08
Switzerland,CHE,1904,49.23
Switzerland,CHE,1905,49.69
Switzerland,CHE,1906,50.75
Switzerland,CHE,1907,51.19
Switzerland,CHE,1908,52.29
Switzerland,CHE,1909,51.65
Switzerland,CHE,1910,52.93
Switzerland,CHE,1911,51.77
Switzerland,CHE,1912,54.4
Switzerland,CHE,1913,54.23
Switzerland,CHE,1914,55.11
Switzerland,CHE,1915,55.91
Switzerland,CHE,1916,56.52
Switzerland,CHE,1917,55.77
Switzerland,CHE,1918,46.3
Switzerland,CHE,1919,54.83
Switzerland,CHE,1920,54.5
Switzerland,CHE,1921,57.77
Switzerland,CHE,1922,58.48
Switzerland,CHE,1923,59.98
Switzerland,CHE,1924,59.47
Switzerland,CHE,1925,59.91
Switzerland,CHE,1926,60.59
Switzerland,CHE,1927,60.09
Switzerland,CHE,1928,60.43
Switzerland,CHE,1929,60.14
Switzerland,CHE,1930,61.4
Switzerland,CHE,1931,61.23
Switzerland,CHE,1932,61.2
Switzerland,CHE,1933,62.37
Switzerland,CHE,1934,62.83
Switzerland,CHE,1935,62.13
Switzerland,CHE,1936,63.14
Switzerland,CHE,1937,63.48
Switzerland,CHE,1938,63.83
Switzerland,CHE,1939,63.98
Switzerland,CHE,1940,63.54
Switzerland,CHE,1941,64.91
Switzerland,CHE,1942,65.63
Switzerland,CHE,1943,65.82
Switzerland,CHE,1944,64.86
Switzerland,CHE,1945,65.38
Switzerland,CHE,1946,66.06
Switzerland,CHE,1947,66.23
Switzerland,CHE,1948,67.31
Switzerland,CHE,1949,67.95
Switzerland,CHE,1950,68.9133
Switzerland,CHE,1951,68.6939
Switzerland,CHE,1952,69.5876
Switzerland,CHE,1953,69.5183
Switzerland,CHE,1954,69.9846
Switzerland,CHE,1955,70.0701
Switzerland,CHE,1956,70.1987
Switzerland,CHE,1957,70.5385
Switzerland,CHE,1958,71.2912
Switzerland,CHE,1959,71.4531
Switzerland,CHE,1960,71.4137
Switzerland,CHE,1961,71.7428
Switzerland,CHE,1962,71.3027
Switzerland,CHE,1963,71.2924
Switzerland,CHE,1964,72.1791
Switzerland,CHE,1965,72.318
Switzerland,CHE,1966,72.4497
Switzerland,CHE,1967,72.7412
Switzerland,CHE,1968,72.7054
Switzerland,CHE,1969,72.7176
Switzerland,CHE,1970,73.1238
Switzerland,CHE,1971,73.2406
Switzerland,CHE,1972,73.7591
Switzerland,CHE,1973,74.0598
Switzerland,CHE,1974,74.4013
Switzerland,CHE,1975,74.7913
Switzerland,CHE,1976,74.9059
Switzerland,CHE,1977,75.3673
Switzerland,CHE,1978,75.3079
Switzerland,CHE,1979,75.6078
Switzerland,CHE,1980,75.5898
Switzerland,CHE,1981,75.8183
Switzerland,CHE,1982,76.1624
Switzerland,CHE,1983,76.1574
Switzerland,CHE,1984,76.756
Switzerland,CHE,1985,76.882
Switzerland,CHE,1986,77.0403
Switzerland,CHE,1987,77.3317
Switzerland,CHE,1988,77.3646
Switzerland,CHE,1989,77.5573
Switzerland,CHE,1990,77.3851
Switzerland,CHE,1991,77.6485
Switzerland,CHE,1992,77.9441
Switzerland,CHE,1993,78.2335
Switzerland,CHE,1994,78.4946
Switzerland,CHE,1995,78.565
Switzerland,CHE,1996,79.0494
Switzerland,CHE,1997,79.2329
Switzerland,CHE,1998,79.4752
Switzerland,CHE,1999,79.7235
Switzerland,CHE,2000,79.834
Switzerland,CHE,2001,80.2511
Switzerland,CHE,2002,80.4438
Switzerland,CHE,2003,80.5325
Switzerland,CHE,2004,81.0549
Switzerland,CHE,2005,81.2362
Switzerland,CHE,2006,81.5495
Switzerland,CHE,2007,81.7028
Switzerland,CHE,2008,81.9709
Switzerland,CHE,2009,81.9891
Switzerland,CHE,2010,82.2873
Switzerland,CHE,2011,82.5738
Switzerland,CHE,2012,82.6167
Switzerland,CHE,2013,82.6892
Switzerland,CHE,2014,83.0841
Switzerland,CHE,2015,82.8461
Switzerland,CHE,2016,83.4457
Switzerland,CHE,2017,83.414
Switzerland,CHE,2018,83.5639
Switzerland,CHE,2019,83.7804
Switzerland,CHE,2020,83.0626
Switzerland,CHE,2021,83.6477
Switzerland,CHE,2022,83.2003
Switzerland,CHE,2023,83.9536
