Entity,Code,Year,Life expectancy at birth,GDP per capita,Population,World region,GDP per capita (Annotations)
Afghanistan,AFG,2021,60.4174,1485.547,40000410,Asia,
Albania,ALB,2021,76.8442,12455.917,2849641,Europe,
Algeria,DZA,2021,75.2077,13337.262,44761099,Africa,
Angola,AGO,2021,62.9581,6137.004,34532427,Africa,
Argentina,ARG,2021,73.9485,17470.682,45312282,South America,
Armenia,ARM,2021,72.5524,12242.478,2870339,Asia,
Australia,AUS,2021,83.564,50704.934,25956417,Oceania,
Austria,AUT,2021,81.8204,42184.695,8967053,Europe,
Azerbaijan,AZE,2021,70.9994,16971.725,10234372,Asia,
Bahrain,BHR,2021,78.0826,37323.105,1501762,Asia,
Bangladesh,BGD,2021,71.1035,4684.003,167658855,Asia,
Barbados,BRB,2021,76.5797,10386.526,282157,North America,
Belarus,BLR,2021,72.2206,19541.914,9251368,Europe,
Belgium,BEL,2021,81.6591,40970.805,11570843,Europe,
Benin,BEN,2021,59.6103,2395.1663,13413423,Africa,
Bolivia,BOL,2021,61.4268,6355.615,11937369,South America,
Bosnia and Herzegovina,BIH,2021,74.5673,11553.761,3244912,Europe,
Botswana,BWA,2021,63.3025,15612.078,2401448,Africa,
Brazil,BRA,2021,73.0377,14292.936,209550291,South America,
Bulgaria,BGR,2021,71.4137,19753.994,6877222,Europe,
Burkina Faso,BFA,2021,60.0463,1706.9633,21995249,Africa,
Burundi,BDI,2021,62.1013,723.1921,12965487,Africa,
Cambodia,KHM,2021,69.3012,3796.4844,16974309,Asia,
Cameroon,CMR,2021,61.1463,2791.79,26915765,Africa,
Canada,CAN,2021,81.976,44379.594,38454058,North America,
Cape Verde,CPV,2021,74.4235,6173.23,516655,Africa,
Central African Republic,CAF,2021,40.2791,606.85913,5112103,Africa,
Chad,TCD,2021,53.1362,1402.6732,17828274,Africa,
Chile,CHL,2021,78.8764,22324.96,19456323,South America,
China,CHN,2021,78.1166,18666.605,1426437269,Asia,
Colombia,COL,2021,72.6983,13553.399,51188174,South America,
Comoros,COM,2021,65.2009,1886.0608,818178,Africa,
Congo,COG,2021,64.1918,4168.0244,5892187,Africa,
Costa Rica,CRI,2021,78.0501,14931.956,5059991,North America,
Cote d'Ivoire,CIV,2021,60.2897,3853.1626,29639737,Africa,
Croatia,HRV,2021,77.1412,25059.947,3924607,Europe,
Cuba,CUB,2021,73.2006,7485.821,11122169,North America,
Cyprus,CYP,2021,80.5735,30252.326,1317311,Europe,
Czechia,CZE,2021,77.2342,31452.557,10530683,Europe,
Democratic Republic of Congo,COD,2021,60.0444,817.43225,99148930,Africa,
Denmark,DNK,2021,81.4363,49258.75,5856774,Europe,
Djibouti,DJI,2021,63.8301,3541.5713,1121251,Africa,
Dominica,DMA,2021,69.8318,8419.473,67222,North America,
Dominican Republic,DOM,2021,71.7575,17046.646,11123480,North America,
Ecuador,ECU,2021,72.7465,9937.696,17682454,South America,
Egypt,EGY,2021,68.9759,12868.262,110957005,Africa,
El Salvador,SLV,2021,69.9414,9017.392,6255780,North America,
Equatorial Guinea,GNQ,2021,62.4468,22537.541,1758796,Africa,
Estonia,EST,2021,77.4095,30499.156,1331750,Europe,
Eswatini,SWZ,2021,58.2284,8725.725,1206598,Africa,
Ethiopia,ETH,2021,65.3299,2190.6753,122138588,Africa,
Finland,FIN,2021,81.8137,39977.855,5541069,Europe,
France,FRA,2021,82.3216,38242.133,66083547,Europe,
Gabon,GAB,2021,67.0715,15597.771,2376729,Africa,
Gambia,GMB,2021,63.8475,1964.4937,2576015,Africa,
Georgia,GEO,2021,71.6353,12994.772,3788450,Asia,
Germany,DEU,2021,81.1059,46159.05,83697080,Europe,
Ghana,GHA,2021,64.2862,4190.578,32518662,Africa,
Greece,GRC,2021,80.5312,23732.201,10579561,Europe,
Guatemala,GTM,2021,67.8582,7764.6963,17598652,North America,
Guinea,GIN,2021,59.3728,1769.8623,13710515,Africa,
Guinea-Bissau,GNB,2021,61.6528,1593.8186,2058841,Africa,
Haiti,HTI,2021,62.613,1591.76,11374592,North America,
Honduras,HND,2021,69.4924,5062.1187,10289881,North America,
Hong Kong,HKG,2021,85.0816,50006.348,7484604,Asia,
Hungary,HUN,2021,74.1851,28085.963,9707848,Europe,
Iceland,ISL,2021,82.8433,40412.617,372647,Europe,
India,IND,2021,67.2823,7315.1216,1414203896,Asia,
Indonesia,IDN,2021,67.4516,12233.969,276758056,Asia,
Iran,IRN,2021,73.7521,18052.37,88455490,Asia,
Iraq,IRQ,2021,70.7036,12355.587,43071208,Asia,
Ireland,IRL,2021,81.8608,57278.42,5028428,Europe,
Israel,ISR,2021,82.5169,34969.016,8942925,Asia,
Italy,ITA,2021,82.8652,34827.137,59729353,Europe,
Jamaica,JAM,2021,69.0846,7193.1064,2837680,North America,
Japan,JPN,2021,84.55,37678.277,125679342,Asia,
Jordan,JOR,2021,74.2042,9019.895,11066356,Asia,
Kazakhstan,KAZ,2021,70.1311,25936.383,19743607,Asia,
Kenya,KEN,2021,61.2253,3292.7585,53219167,Africa,
Kuwait,KWT,2021,77.625,66418.2,4360748,Asia,
Kyrgyzstan,KGZ,2021,69.2904,5035.9272,6820483,Asia,
Laos,LAO,2021,67.8074,6961.1216,7453192,Asia,
Latvia,LVA,2021,73.1809,26738.615,1885593,Europe,
Lebanon,LBN,2021,73.6495,10573.861,5718129,Asia,
Lesotho,LSO,2021,54.2091,2311.8909,2261549,Africa,
Liberia,LBR,2021,61.1658,790.2841,5259327,Africa,
Libya,LBY,2021,72.0617,14797.098,7135179,Africa,
Lithuania,LTU,2021,74.2967,30557.03,2794490,Europe,
Luxembourg,LUX,2021,81.8392,55346.676,640276,Europe,
Madagascar,MDG,2021,62.5157,1343.4438,29691087,Africa,
Malawi,MWI,2021,64.782,1211.2092,20047264,Africa,
Malaysia,MYS,2021,73.9172,24764.65,34282404,Asia,
Mali,MLI,2021,59.116,1643.0144,22388637,Africa,
Malta,MLT,2021,82.3161,33031.184,524383,Europe,
Mauritania,MRT,2021,66.7618,3527.4277,4734874,Africa,
Mauritius,MUS,2021,72.903,19069.049,1279628,Africa,
Mexico,MEX,2021,69.7499,15853.376,127648151,North America,
Moldova,MDA,2021,68.9908,7557.3857,3023780,Europe,
Mongolia,MNG,2021,68.5654,12992.167,3339676,Asia,
Montenegro,MNE,2021,73.7893,19656.557,603854,Europe,
Morocco,MAR,2021,73.3848,8391.295,36954443,Africa,
Mozambique,MOZ,2021,60.2683,1073.57,31707798,Africa,
Myanmar,MMR,2021,65.5535,5113.337,53387103,Asia,
Namibia,NAM,2021,60.8499,7796.0615,2810552,Africa,
Nepal,NPL,2021,68.3846,2902.0503,29475016,Asia,
Netherlands,NLD,2021,81.356,48001.84,17730565,Europe,
New Zealand,NZL,2021,82.3003,37837.457,5107694,Oceania,
Nicaragua,NIC,2021,70.4777,4978.8413,6644745,North America,
