Entity,Code,Year,Other renewables,Bioenergy,Solar,Wind,Hydropower,Nuclear,Gas,Oil,Coal
Switzerland,CHE,2000,0.63,0.21,0.01,0,36.83,26.45,0.86,1.13,0
Switzerland,CHE,2001,0.68,0.2,0.01,0,41.31,26.81,0.85,1.19,0
Switzerland,CHE,2002,0.71,0.21,0.01,0,35.17,27.23,0.89,1.19,0
Switzerland,CHE,2003,0.72,0.22,0.02,0,34.76,27.49,0.93,1.2,0
Switzerland,CHE,2004,0.76,0.22,0.02,0.01,33.75,26.96,0.94,1.21,0
Switzerland,CHE,2005,0.81,0.22,0.02,0.01,31.23,23.34,0.87,1.3,0
Switzerland,CHE,2006,0.91,0.23,0.02,0.01,30.96,27.82,0.79,1.39,0
Switzerland,CHE,2007,0.89,0.29,0.03,0.02,35.25,27.92,0.74,1.29,0
Switzerland,CHE,2008,0.91,0.32,0.04,0.02,36.04,27.7,0.73,1.28,0
Switzerland,CHE,2009,0.88,0.36,0.05,0.02,35.72,27.69,0.71,1.24,0
Switzerland,CHE,2010,0.92,0.36,0.09,0.04,36.06,26.34,1.03,1.21,0
Switzerland,CHE,2011,0.95,0.44,0.17,0.07,32.39,26.71,0.96,1.19,0
Switzerland,CHE,2012,1.01,0.53,0.3,0.09,38.6,25.44,0.91,1.25,0
Switzerland,CHE,2013,1.04,0.58,0.5,0.09,38.46,25.99,0.75,1.28,0
Switzerland,CHE,2014,1.1,0.59,0.84,0.1,38.04,27.56,0.5,1.35,0
Switzerland,CHE,2015,1.11,0.52,1.12,0.11,38.26,23.09,0.63,1.23,0
Switzerland,CHE,2016,1.17,0.58,1.33,0.11,34.62,21.15,0.86,1.28,0
Switzerland,CHE,2017,1.17,0.69,1.68,0.13,34.09,20.38,0.72,1.29,0
Switzerland,CHE,2018,1.16,0.67,1.95,0.12,34.98,25.51,0.62,1.28,0
Switzerland,CHE,2019,1.17,0.71,2.18,0.15,38.04,26.42,0.61,1.29,0
Switzerland,CHE,2020,1.18,0.81,2.6,0.15,37.87,24.02,0.62,1.25,0
Switzerland,CHE,2021,1.11,0.96,2.84,0.14,36.96,19.36,0.5,1.22,0
Switzerland,CHE,2022,1.09,0.99,3.86,0.15,29.9,24.15,0.37,1.21,0
Switzerland,CHE,2023,1.04,1.04,4.62,0.17,37.39,24.38,0.27,1.16,0
Switzerland,CHE,2024,1.04,1.04,5.66,0.18,44.94,24.02,0.27,1.22,0
Switzerland,CHE,2025,1.04,1.04,7.89,0.14,33.99,19.42,0.27,1.23,0
