Entity,Code,Year,CO₂ emissions per capita
Algeria,DZA,1916,0.0006419031
Algeria,DZA,1917,0.0012771984
Algeria,DZA,1918,0.0031769325
Algeria,DZA,1919,0.0031571276
Algeria,DZA,1920,0.0037603965
Algeria,DZA,1921,0.0043493058
Algeria,DZA,1922,0.0043066936
Algeria,DZA,1923,0.0024340036
Algeria,DZA,1924,0.00481467
Algeria,DZA,1925,0.005357156
Algeria,DZA,1926,0.0064758947
Algeria,DZA,1927,0.009316276
Algeria,DZA,1928,0.011485059
Algeria,DZA,1929,0.012478749
Algeria,DZA,1930,0.012864212
Algeria,DZA,1931,0.014877537
Algeria,DZA,1932,0.016805604
Algeria,DZA,1933,0.017591037
Algeria,DZA,1934,0.019898007
Algeria,DZA,1935,0.018538017
Algeria,DZA,1936,0.0070609855
Algeria,DZA,1937,0.009429192
Algeria,DZA,1938,0.0044057337
Algeria,DZA,1939,0.021176292
Algeria,DZA,1940,0.030772531
Algeria,DZA,1941,0.03960487
Algeria,DZA,1942,0.06239821
Algeria,DZA,1943,0.057818197
Algeria,DZA,1944,0.060518295
Algeria,DZA,1945,0.0736583
Algeria,DZA,1946,0.089851215
Algeria,DZA,1947,0.08638843
Algeria,DZA,1948,0.09181947
Algeria,DZA,1949,0.10236545
Algeria,DZA,1950,0.41954175
Algeria,DZA,1951,0.4456566
Algeria,DZA,1952,0.40847814
Algeria,DZA,1953,0.4092041
Algeria,DZA,1954,0.4146334
Algeria,DZA,1955,0.449535
Algeria,DZA,1956,0.47652793
Algeria,DZA,1957,0.51663953
Algeria,DZA,1958,0.47601697
Algeria,DZA,1959,0.5055593
Algeria,DZA,1960,0.5384051
Algeria,DZA,1961,0.52076566
Algeria,DZA,1962,0.47971538
Algeria,DZA,1963,0.45227
Algeria,DZA,1964,0.46331143
Algeria,DZA,1965,0.5327951
Algeria,DZA,1966,0.6688496
Algeria,DZA,1967,0.65482384
Algeria,DZA,1968,0.6870493
Algeria,DZA,1969,0.8357823
Algeria,DZA,1970,1.0925177
Algeria,DZA,1971,1.3222277
Algeria,DZA,1972,1.9621555
Algeria,DZA,1973,2.5897639
Algeria,DZA,1974,2.1044195
Algeria,DZA,1975,2.0387123
Algeria,DZA,1976,2.380847
Algeria,DZA,1977,2.453753
Algeria,DZA,1978,3.558522
Algeria,DZA,1979,2.5117385
Algeria,DZA,1980,3.553662
Algeria,DZA,1981,2.3932142
Algeria,DZA,1982,1.952853
Algeria,DZA,1983,2.5330236
Algeria,DZA,1984,3.3103192
Algeria,DZA,1985,3.2709017
Algeria,DZA,1986,3.314141
Algeria,DZA,1987,3.5412493
Algeria,DZA,1988,3.4359274
Algeria,DZA,1989,3.189003
Algeria,DZA,1990,2.990726
Algeria,DZA,1991,3.0004637
