Entity,Code,Year,Annual CO₂ emissions
Afghanistan,AFG,2024,10825998
Africa,OWID_AFR,2024,1502098700
Africa (GCP),,2024,1502087400
Albania,ALB,2024,4444448
Algeria,DZA,2024,198203180
Andorra,AND,2024,424663
Angola,AGO,2024,22333584
Anguilla,AIA,2024,148085
Antarctica,ATA,2024,0
Antigua and Barbuda,ATG,2024,665140
Argentina,ARG,2024,171059260
Armenia,ARM,2024,7430715
Aruba,ABW,2024,920644
Asia,OWID_ASI,2024,23392487000
Asia (GCP),,2024,20432226000
Asia (excl. China and India),,2024,7909973000
Australia,AUS,2024,386732380
Austria,AUT,2024,56367656
Azerbaijan,AZE,2024,39830140
Bahamas,BHS,2024,3069679
Bahrain,BHR,2024,39003456
Bangladesh,BGD,2024,108317880
Barbados,BRB,2024,1365171
Belarus,BLR,2024,55818416
Belgium,BEL,2024,85456200
Belize,BLZ,2024,796027
Benin,BEN,2024,6066339
Bermuda,BMU,2024,550001
Bhutan,BTN,2024,1657416
Bolivia,BOL,2024,28708664
Bonaire Sint Eustatius and Saba,BES,2024,151882
Bosnia and Herzegovina,BIH,2024,19425932
Botswana,BWA,2024,7461599
Brazil,BRA,2024,483011550
British Virgin Islands,VGB,2024,192507
Brunei,BRN,2024,12052463
Bulgaria,BGR,2024,31621824
Burkina Faso,BFA,2024,6507663
Burundi,BDI,2024,916664
Cambodia,KHM,2024,21882690
Cameroon,CMR,2024,9631583
Canada,CAN,2024,533340100
Cape Verde,CPV,2024,593786
Central African Republic,CAF,2024,394681
Central America (GCP),,2024,185165940
Chad,TCD,2024,2831401
Chile,CHL,2024,78725544
China,CHN,2024,12289037000
Christmas Island,CXR,2024,0
Colombia,COL,2024,92659384
Comoros,COM,2024,551650
Congo,COG,2024,8839770
Cook Islands,COK,2024,80083
Costa Rica,CRI,2024,8760451
Cote d'Ivoire,CIV,2024,14828585
Croatia,HRV,2024,18464850
Cuba,CUB,2024,24440234
Curacao,CUW,2024,2289628
Cyprus,CYP,2024,7299328
Czechia,CZE,2024,75623000
Democratic Republic of Congo,COD,2024,5904451
Denmark,DNK,2024,28369162
Djibouti,DJI,2024,564084
Dominica,DMA,2024,170858
Dominican Republic,DOM,2024,33130818
East Timor,TLS,2024,668112
Ecuador,ECU,2024,45979548
Egypt,EGY,2024,258367860
El Salvador,SLV,2024,8972291
Equatorial Guinea,GNQ,2024,7010352
Eritrea,ERI,2024,742647
Estonia,EST,2024,8306777
Eswatini,SWZ,2024,1044644
Ethiopia,ETH,2024,17837292
Europe,OWID_EUR,2024,4880514000
Europe (GCP),,2024,4880514000
Europe (excl. EU-27),,2024,2454348300
Europe (excl. EU-28),,2024,2141442700
European Union (27),OWID_EU27,2024,2426166000
European Union (28),,2024,2739071500
Faroe Islands,FRO,2024,725388
Fiji,FJI,2024,1445316
Finland,FIN,2024,29775000
France,FRA,2024,264155620
French Polynesia,PYF,2024,922867
Gabon,GAB,2024,5398794
Gambia,GMB,2024,802774
Georgia,GEO,2024,11784258
Germany,DEU,2024,572319170
Ghana,GHA,2024,21021874
Greece,GRC,2024,53360840
Greenland,GRL,2024,618963
Grenada,GRD,2024,376971
Guatemala,GTM,2024,19880430
Guinea,GIN,2024,4026185
Guinea-Bissau,GNB,2024,342189
Guyana,GUY,2024,4510330
Haiti,HTI,2024,2970693
High-income countries,OWID_HIC,2024,13867993000
Honduras,HND,2024,12854842
Hong Kong,HKG,2024,33323918
Hungary,HUN,2024,40017292
Iceland,ISL,2024,3803011
India,IND,2024,3193478100
Indonesia,IDN,2024,812220200
International aviation,,2024,569039300
International shipping,,2024,623424500
Iran,IRN,2024,792631200
Iraq,IRQ,2024,233635500
Ireland,IRL,2024,33310624
Israel,ISR,2024,52637136
Italy,ITA,2024,301929760
Jamaica,JAM,2024,8401763
Japan,JPN,2024,961867300
Jordan,JOR,2024,23219138
Kazakhstan,KAZ,2024,287005950
Kenya,KEN,2024,21225434
Kiribati,KIR,2024,72456
Kosovo,OWID_KOS,2024,8049940
Kuwait,KWT,2024,129518650
Kuwaiti Oil Fires (GCP),,2024,0
Kyrgyzstan,KGZ,2024,11770158
Laos,LAO,2024,24399926
