date,discharge_cfs
2024-01-01,7410
2024-01-02,6530
2024-01-03,5800
2024-01-04,5140
2024-01-05,4670
2024-01-06,4390
2024-01-07,4480
2024-01-08,4610
2024-01-09,7310
2024-01-10,30900
2024-01-11,60200
2024-01-12,42000
2024-01-13,30100
2024-01-14,32000
2024-01-15,28100
2024-01-16,22000
2024-01-17,17700
2024-01-18,14200
2024-01-19,11400
2024-01-20,9950
2024-01-21,8910
2024-01-22,7430
2024-01-23,6740
2024-01-24,6750
2024-01-25,7110
2024-01-26,8120
2024-01-27,14100
2024-01-28,25900
2024-01-29,50500
2024-01-30,60600
2024-01-31,39300
2024-02-01,28600
2024-02-02,23100
2024-02-03,19400
2024-02-04,16600
2024-02-05,13900
2024-02-06,12100
2024-02-07,10900
2024-02-08,9830
2024-02-09,8620
2024-02-10,7960
2024-02-11,7500
2024-02-12,7080
2024-02-13,9380
2024-02-14,24300
2024-02-15,34000
2024-02-16,26100
2024-02-17,21100
2024-02-18,18300
2024-02-19,16100
2024-02-20,14200
2024-02-21,12600
2024-02-22,11400
2024-02-23,11500
2024-02-24,16600
2024-02-25,18200
2024-02-26,16500
2024-02-27,14700
2024-02-28,13400
2024-02-29,13100
2024-03-01,14000
2024-03-02,14800
2024-03-03,18000
2024-03-04,20000
2024-03-05,18400
2024-03-06,16800
2024-03-07,15500
2024-03-08,14300
2024-03-09,14400
2024-03-10,31500
2024-03-11,53300
2024-03-12,37500
2024-03-13,28300
2024-03-14,23000
2024-03-15,19700
2024-03-16,18100
2024-03-17,16500
2024-03-18,14500
2024-03-19,12900
2024-03-20,11400
2024-03-21,10100
2024-03-22,9100
2024-03-23,9330
2024-03-24,10300
2024-03-25,11800
2024-03-26,11300
2024-03-27,10200
2024-03-28,9440
2024-03-29,8900
2024-03-30,8430
2024-03-31,8030
2024-04-01,8600
2024-04-02,13300
2024-04-03,42100
2024-04-04,76500
2024-04-05,66300
2024-04-06,41700
2024-04-07,31000
2024-04-08,25400
2024-04-09,21900
2024-04-10,19000
2024-04-11,17000
2024-04-12,16600
2024-04-13,26600
2024-04-14,34600
2024-04-15,32500
2024-04-16,26100
2024-04-17,21700
2024-04-18,18300
2024-04-19,16000
2024-04-20,14400
2024-04-21,12700
2024-04-22,11400
2024-04-23,10300
2024-04-24,9140
2024-04-25,8300
2024-04-26,7740
2024-04-27,7330
2024-04-28,7130
2024-04-29,6940
2024-04-30,6820
2024-05-01,6410
2024-05-02,5990
2024-05-03,5650
2024-05-04,5480
2024-05-05,5530
2024-05-06,7030
2024-05-07,8000
2024-05-08,7830
2024-05-09,10700
2024-05-10,9660
2024-05-11,8860
2024-05-12,10900
2024-05-13,12000
2024-05-14,11300
2024-05-15,9440
2024-05-16,8450
2024-05-17,7720
2024-05-18,7240
2024-05-19,7260
2024-05-20,12500
2024-05-21,13900
2024-05-22,11800
2024-05-23,9600
2024-05-24,8320
2024-05-25,7620
2024-05-26,7450
2024-05-27,7480
2024-05-28,7240
2024-05-29,6530
2024-05-30,6230
2024-05-31,5700
2024-06-01,5160
2024-06-02,4720
2024-06-03,4380
2024-06-04,4310
2024-06-05,4030
2024-06-06,4000
2024-06-07,3960
2024-06-08,5160
2024-06-09,4730
2024-06-10,4080
2024-06-11,3590
2024-06-12,3330
2024-06-13,3160
2024-06-14,3010
2024-06-15,3010
2024-06-16,3040
2024-06-17,2890
2024-06-18,2760
2024-06-19,2610
2024-06-20,2450
2024-06-21,2300
2024-06-22,2280
2024-06-23,2130
2024-06-24,1990
2024-06-25,2010
2024-06-26,2000
2024-06-27,1840
2024-06-28,1850
2024-06-29,1970
2024-06-30,2650
2024-07-01,2250
2024-07-02,2020
2024-07-03,1930
2024-07-04,1840
2024-07-05,1810
2024-07-06,1850
2024-07-07,1820
2024-07-08,1750
2024-07-09,1690
2024-07-10,1690
2024-07-11,1750
2024-07-12,1720
2024-07-13,1640
2024-07-14,1540
2024-07-15,1480
2024-07-16,1420
2024-07-17,1460
2024-07-18,1400
2024-07-19,1330
2024-07-20,1330
2024-07-21,1330
2024-07-22,1330
2024-07-23,1400
2024-07-24,1940
2024-07-25,1790
2024-07-26,1790
2024-07-27,1740
2024-07-28,1660
2024-07-29,1530
2024-07-30,1460
2024-07-31,1600
2024-08-01,1900
2024-08-02,1710
2024-08-03,1720
2024-08-04,1670
2024-08-05,1640
2024-08-06,1690
2024-08-07,2550
2024-08-08,3880
2024-08-09,11800
2024-08-10,54900
2024-08-11,31700
2024-08-12,16700
2024-08-13,10300
2024-08-14,7130
2024-08-15,5410
2024-08-16,4560
2024-08-17,3860
2024-08-18,3500
2024-08-19,3140
2024-08-20,3100
2024-08-21,2910
2024-08-22,2590
2024-08-23,2460
2024-08-24,2280
2024-08-25,2160
2024-08-26,2110
2024-08-27,2050
2024-08-28,1970
2024-08-29,2080
2024-08-30,2050
2024-08-31,2320
2024-09-01,3060
2024-09-02,4300
2024-09-03,4420
2024-09-04,3630
2024-09-05,3210
2024-09-06,2820
2024-09-07,2730
2024-09-08,2390
2024-09-09,2150
2024-09-10,1970
2024-09-11,1890
2024-09-12,1890
2024-09-13,1850
2024-09-14,1570
2024-09-15,1640
2024-09-16,1550
2024-09-17,1610
2024-09-18,1680
2024-09-19,1730
2024-09-20,2210
2024-09-21,3620
2024-09-22,3420
2024-09-23,3030
2024-09-24,2840
2024-09-25,3430
2024-09-26,3930
2024-09-27,3690
2024-09-28,7260
2024-09-29,21600
2024-09-30,23300
2024-10-01,23600
2024-10-02,39700
2024-10-03,37100
2024-10-04,27200
2024-10-05,20000
2024-10-06,15200
2024-10-07,11400
2024-10-08,8970
2024-10-09,7370
2024-10-10,6320
2024-10-11,5480
2024-10-12,4840
2024-10-13,4320
2024-10-14,3970
2024-10-15,3600
2024-10-16,3320
2024-10-17,3150
2024-10-18,2970
2024-10-19,2870
2024-10-20,2760
2024-10-21,2670
2024-10-22,2570
2024-10-23,2480
2024-10-24,2420
2024-10-25,2270
2024-10-26,2230
2024-10-27,2130
2024-10-28,2020
2024-10-29,2100
2024-10-30,2010
2024-10-31,1980
2024-11-01,1970
2024-11-02,1900
2024-11-03,1890
2024-11-04,1880
2024-11-05,1850
2024-11-06,1830
2024-11-07,1810
2024-11-08,1790
2024-11-09,1780
2024-11-10,1750
2024-11-11,1820
2024-11-12,1820
2024-11-13,1790
2024-11-14,1760
2024-11-15,1860
2024-11-16,1980
2024-11-17,2050
2024-11-18,2010
2024-11-19,2200
2024-11-20,2240
2024-11-21,2290
2024-11-22,2150
2024-11-23,2170
2024-11-24,2120
2024-11-25,2150
2024-11-26,2170
2024-11-27,2140
2024-11-28,2310
2024-11-29,2390
2024-11-30,3000
2024-12-01,3160
2024-12-02,2970
2024-12-03,2780
2024-12-04,2540
2024-12-05,2410
2024-12-06,2270
2024-12-07,2150
2024-12-08,2030
2024-12-09,2010
2024-12-10,2090
2024-12-11,2330
2024-12-12,3200
2024-12-13,6130
2024-12-14,7000
2024-12-15,6650
2024-12-16,5950
2024-12-17,5510
2024-12-18,5100
2024-12-19,5460
2024-12-20,6380
2024-12-21,6330
2024-12-22,5880
2024-12-23,5310
2024-12-24,4800
2024-12-25,4380
2024-12-26,4120
2024-12-27,3900
2024-12-28,3780
2024-12-29,3670
2024-12-30,3570
2024-12-31,3530
